id	stk_code	stk_name	stk_shares_idx	stk_float_idx	stk_capp_idx	stk_price	stk_curr	stk_mult	curr_conv	stk_curr_conv	stk_mcap_idx	specs_id	dates	times	stk_dcap_idx	stk_dcurr_conv	stk_dprice	idx_curr	idx_code	new_shares	stk_wgt	nxt_shares_idx	nxt_float_idx	nxt_capp_idx	nxt_price	nxt_adjust	to_adjust	nxt_date	nstk_curr_conv	nstk_mcap_idx	nxt_free_float	nxt_capping
79	PVX	PVN Construction	35000000	100	100	5200	VND	1	1	5200	182000000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	2.2279498997522498						0	0000-00-00	0	0	0	0
80	PVI	PVN Insurance	2000000	100	100	15900	VND	1	1	15900	31800000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	0.3892791583083601						0	0000-00-00	0	0	0	0
81	PGS	PVN Southern Gas	59841300	100	100	17100	VND	1	1	17100	1023286230000	0	2012-09-13	12:23:11	71809560000	1200	1200	VND	PVNHNXPRVND	0	12.526540953551416						0	0000-00-00	0	0	0	0
82	PVC	Drilling Mud Corp	157531264	100	100	12700	VND	1	1	12700	2000647052800	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	24.490886817172495						0	0000-00-00	0	0	0	0
83	PVR	PVN Premier Recreation	52356713	100	100	3600	VND	1	1	3600	188484166800	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	2.3073257171810235						0	0000-00-00	0	0	0	0
84	PVG	PVN Northern Gas	23000000	100	100	9300	VND	1	1	9300	213900000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	2.618453206357177						0	0000-00-00	0	0	0	0
85	PSI	PVN Securities Incorporated	15000000	100	100	3600	VND	1	1	3600	54000000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	0.6610400801462719						0	0000-00-00	0	0	0	0
86	PFL	Petro Dong Do Joint Stock Company	18000000	100	100	2700	VND	1	1	2700	48600000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	0.5949360721316447						0	0000-00-00	0	0	0	0
87	PSG	Saigon Petroleum Constrution And Investment JSC	250000000	100	100	1300	VND	1	1	1300	325000000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	3.978481963843303						0	0000-00-00	0	0	0	0
88	PVE	PVN Investment Consultancy and Engineering	18870000	100	100	9600	VND	1	1	9600	181152000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	2.21756912219736						0	0000-00-00	0	0	0	0
89	PPS	Petro Vietnam Power Services Joint Stock Company	35000000	100	100	7200	VND	1	1	7200	252000000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	3.084853707349269						0	0000-00-00	0	0	0	0
90	PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100	VND	1	1	6100	1816592773400	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	22.23778949113841						0	0000-00-00	0	0	0	0
91	PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900	VND	1	1	2900	110200000000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	1.3490114228170214						0	0000-00-00	0	0	0	0
92	PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400	VND	1	1	35400	981282690000	0	2012-09-13	12:23:11				VND	PVNHNXPRVND	0	12.012355334143505						0	0000-00-00	0	0	0	0
93	DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200	VND	1	1	39200	14803791408000	0	2012-09-13	12:23:11	528706836000	1400	1400	VND	PVNBMPRVND	0	100						0	0000-00-00	0	0	0	0
94	PET	PVN General Services	70371300	100	100	11200	VND	1	1	11200	788158560000	0	2012-09-13	12:23:11	105556950000	1500	1500	VND	PVNCSPRVND	0	100						0	0000-00-00	0	0	0	0
95	PVF	PVN Finance	100000000	100	100	8300	VND	1	1	8300	830000000000	0	2012-09-13	12:23:11	50000000000	500	500	VND	PVNFIPRVND	0	7.768792127603261						0	0000-00-00	0	0	0	0
96	PVI	PVN Insurance	600000000	100	100	15900	VND	1	1	15900	9540000000000	0	2012-09-13	12:23:11				VND	PVNFIPRVND	0	89.29430951486157						0	0000-00-00	0	0	0	0
97	PTL	Petro Capital and Infrastructure Investment	50000000	100	100	2900	VND	1	1	2900	145000000000	0	2012-09-13	12:23:11				VND	PVNFIPRVND	0	1.3571986247017744						0	0000-00-00	0	0	0	0
98	PSI	PVN Securities Incorporated	2000000	100	100	3600	VND	1	1	3600	7200000000	0	2012-09-13	12:23:11				VND	PVNFIPRVND	0	0.06739193170932949						0	0000-00-00	0	0	0	0
