id	idx_code	idx_name	idx_curr	idx_base	idx_type	idx_mother	idx_divisor	idx_mcap	idx_last	dates	times	records	calculs	publications	idx_plast	idx_dcap	to_adjust	idx_mcap_nxt	idx_divisor_nxt	idx_bbs	idx_conv	idx_group	idx_var	idx_pclose	ip_last	ip_plast	idx_dvar	nxt_date
20021	VNXHSXTREUR	VNX ALLSHARE HSX TR (EUR)	EUR	1000	R	VNXHSXPRVND	862068965517.241	1477339155.1417143	1985.579621379669	2012-09-13	00:00:00	11	1	0	0	26115596.692192193	0	0	0	Benchmark	29810.68			1943.595	1713.7134199643895	0	2.1601527776964375	2012-09-04
20022	VNXHNXPRVND	VNX ALLSHARE HNX	VND	1000	P	VNXHNXPRVND	8000000000000	8168944913000	1021.118114125	2012-09-13	08:52:27	15	1	0	0	71809560000	0	0	0	Benchmark	1			1031.442			-1.0009177321652574	2012-09-04
20023	VNXHNXPRUSD	VNX ALLSHARE HNX (USD)	USD	1000	P	VNXHNXPRVND	380952380.952381	373181585.7925994	979.6016627055732	2012-09-13	00:00:00	15	1	0	0	3280473.2754682503	0	0	0	Benchmark	21890			979.6017			-0.000003807101077379029	2012-09-04
20024	VNXHNXPRJPY	VNX ALLSHARE HNX (JPY)	JPY	1000	P	VNXHNXPRVND	30188679245.283	28967889762.411346	959.5613483798764	2012-09-13	00:00:00	15	1	0	0	254643829.78723404	0	0	0	Benchmark	282			911.1447			5.313826484407636	2012-09-04
20025	VNXHNXPREUR	VNX ALLSHARE HNX (EUR)	EUR	1000	P	VNXHNXPRVND	275862068.965517	274027459.7224887	993.3495414940224	2012-09-13	00:00:00	15	1	0	0	2408853.4713062565	0	0	0	Benchmark	29810.68			972.7445			2.1182377791930387	2012-09-04
20026	VNXHNXTRVND	VNX ALLSHARE HNX TR	VND	1000	R	VNXHNXPRVND	8000000000000	8168944913000	1118.0212727002502	2012-09-13	00:00:00	15	1	0	0	71809560000	0	0	0	Benchmark	1			1119.484	1021.118114125	0	-0.13066084908312744	2012-09-04
20027	VNXHNXTRUSD	VNX ALLSHARE HNX TR (USD)	USD	1000	R	VNXHNXPRVND	380952380952.381	373181585.7925994	1010.0718405599532	2012-09-13	00:00:00	15	1	0	0	3280473.2754682503	0	0	0	Benchmark	21890			1010.063	979.6016627055732	0	0.0008752483709657681	2012-09-04
20028	VNXHNXTRJPY	VNX ALLSHARE HNX TR (JPY)	JPY	1000	R	VNXHNXPRVND	30188679245.283	28967889762.411346	1058.8598561126512	2012-09-13	00:00:00	15	1	0	0	254643829.78723404	0	0	0	Benchmark	282			996.6716	959.5613483798764	0	6.239593474184594	2012-09-04
20029	VNXHNXTREUR	VNX ALLSHARE HNX TR (EUR)	EUR	1000	R	VNXHNXPRVND	275862068965.517	274027459.7224887	1149.8696347562125	2012-09-13	00:00:00	15	1	0	0	2408853.4713062565	0	0	0	Benchmark	29810.68			1126.008	993.3495414940224	0	2.11913545518437	2012-09-04
20030	VNXBMPRVND	VNX BASIC MATERIALS	VND	1000	P	VNXBMPRVND	10000000000000	14803791408000	1480.3791408	2012-09-13	08:52:27	1	1	0	0	528706836000	0	0	0	Sectors	1			1558.712			-5.025486375930899	2012-09-04
20031	VNXBMPRUSD	VNX BASIC MATERIALS (USD)	USD	1000	P	VNXBMPRVND	476190476.190476	676281014.5271814	1420.1901305070814	2012-09-13	00:00:00	1	1	0	0	24152893.375970762	0	0	0	Sectors	21890			1362.596			4.22679433280895	2012-09-04
20032	VNXBMPRJPY	VNX BASIC MATERIALS (JPY)	JPY	1000	P	VNXBMPRVND	37735849056.6038	52495714212.76596	1391.136426638297	2012-09-13	00:00:00	1	1	0	0	1874846936.1702127	0	0	0	Sectors	282			1421.253			-2.119015640544145	2012-09-04
20033	VNXBMPREUR	VNX BASIC MATERIALS (EUR)	EUR	1000	P	VNXBMPRVND	344827586.206897	496593549.9626308	1440.1212948916273	2012-09-13	00:00:00	1	1	0	0	17735483.927236814	0	0	0	Sectors	29810.68			1523.53			-5.474700538116919	2012-09-04
20034	VNXCSPRVND	VNX CONSUMER SERVICES	VND	1000	P	VNXCSPRVND	10000000000000	788158560000	78.815856	2012-09-13	08:52:27	1	1	0	0	105556950000	0	0	0	Sectors	1			80.58443			-2.194684506672072	2012-09-04
20035	VNXCSPRUSD	VNX CONSUMER SERVICES (USD)	USD	1000	P	VNXCSPRVND	476190476.190476	36005416.17176793	75.61137396071268	2012-09-13	00:00:00	1	1	0	0	4822153.9515760625	0	0	0	Sectors	21890			75.61137			0.000005238250132720824	2012-09-04
20036	VNXCSPRJPY	VNX CONSUMER SERVICES (JPY)	JPY	1000	P	VNXCSPRVND	37735849056.6038	2794888510.638298	74.06454553191485	2012-09-13	00:00:00	1	1	0	0	374315425.5319149	0	0	0	Sectors	282			75.57809			-2.002623337114179	2012-09-04
20037	VNXCSPREUR	VNX CONSUMER SERVICES (EUR)	EUR	1000	P	VNXCSPRVND	344827586.206897	26438798.44404757	76.67251548773784	2012-09-13	00:00:00	1	1	0	0	3540910.505899228	0	0	0	Sectors	29810.68			80.0805			-4.255698343869183	2012-09-04
20038	VNXFIPRVND	VNX FINANCIALS	VND	1000	P	VNXFIPRVND	10000000000000	10683771510000	1068.377151	2012-09-13	08:52:27	5	1	0	0	50000000000	0	0	0	Sectors	1			1090.766			-2.052580388460968	2012-09-04
20039	VNXFIPRUSD	VNX FINANCIALS (USD)	USD	1000	P	VNXFIPRVND	476190476.190476	488066309.27364093	1024.9392494746464	2012-09-13	00:00:00	5	1	0	0	2284148.012791229	0	0	0	Sectors	21890			992.3158			3.2876075816435115	2012-09-04
20040	VNXFIPRJPY	VNX FINANCIALS (JPY)	JPY	1000	P	VNXFIPRVND	37735849056.6038	37885714574.46809	1003.9714362234037	2012-09-13	00:00:00	5	1	0	0	177304964.5390071	0	0	0	Sectors	282			983.5947			2.071659823238542	2012-09-04
20041	VNXFIPREUR	VNX FINANCIALS (EUR)	EUR	1000	P	VNXFIPRVND	344827586.206897	358387380.29457897	1039.3234028542777	2012-09-13	00:00:00	5	1	0	0	1677251.240159567	0	0	0	Sectors	29810.68			1072.052			-3.0528926904405975	2012-09-04
20042	VNXINPRVND	VNX INDUSTRIALS	VND	1000	P	VNXINPRVND	10000000000000	12555633734400	1255.56337344	2012-09-13	08:52:27	15	1	0	0	461428473000	0	0	0	Sectors	1			1216.447			3.215624966809092	2012-09-04
20043	VNXINPRUSD	VNX INDUSTRIALS (USD)	USD	1000	P	VNXINPRVND	476190476.190476	573578516.8752855	1204.5148854381	2012-09-13	00:00:00	15	1	0	0	21079418.592964824	0	0	0	Sectors	21890			1204.515			-0.000009511039720621844	2012-09-04
20044	VNXINPRJPY	VNX INDUSTRIALS (JPY)	JPY	1000	P	VNXINPRVND	37735849056.6038	44523523880.85107	1179.8733828425527	2012-09-13	00:00:00	15	1	0	0	1636271180.8510637	0	0	0	Sectors	282			1143.17			3.210667078610585	2012-09-04
20045	VNXINPREUR	VNX INDUSTRIALS (EUR)	EUR	1000	P	VNXINPRVND	344827586.206897	421179045.0402339	1221.4192306166767	2012-09-13	00:00:00	15	1	0	0	15478629.571683705	0	0	0	Sectors	29810.68			1221.419			0.000018881045457578525	2012-09-04
20046	VNXOGPRVND	VNX OIL & GAS	VND	1000	P	VNXOGPRVND	10000000000000	13957715385000	1395.7715385	2012-09-13	08:52:27	5	1	0	0	700764606800	0	0	0	Sectors	1			1469.969			-5.047552805535364	2012-09-04
20047	VNXOGPRUSD	VNX OIL & GAS (USD)	USD	1000	P	VNXOGPRVND	476190476.190476	637629757.1950662	1339.0224901096394	2012-09-13	00:00:00	5	1	0	0	32013001.68113294	0	0	0	Sectors	21890			1368.028			-2.1202424139243203	2012-09-04
20048	VNXOGPRJPY	VNX OIL & GAS (JPY)	JPY	1000	P	VNXOGPRVND	37735849056.6038	49495444627.65958	1311.629282632978	2012-09-13	00:00:00	5	1	0	0	2484980875.1773047	0	0	0	Sectors	282			1285.165			2.059212835159531	2012-09-04
20049	VNXOGPREUR	VNX OIL & GAS (EUR)	EUR	1000	P	VNXOGPRVND	344827586.206897	468211908.78571033	1357.8145354785581	2012-09-13	00:00:00	5	1	0	0	23507166.116304625	0	0	0	Sectors	29810.68			1420.125			-4.387674642826644	2012-09-04
20050	VNXUTPRVND	VNX UTILITIES	VND	1000	P	VNXUTPRVND	10000000000000	2957227000000	295.7227	2012-09-13	08:52:27	3	1	0	0	0	0	0	0	Sectors	1			295.7227			0	2012-09-04
20051	VNXUTPRUSD	VNX UTILITIES (USD)	USD	1000	P	VNXUTPRVND	476190476.190476	135094883.50845134	283.6992553677479	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	21890			275.3085			3.0477647321996755	2012-09-04
20052	VNXUTPRJPY	VNX UTILITIES (JPY)	JPY	1000	P	VNXUTPRVND	37735849056.6038	10486620567.375887	277.8954450354608	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	282			283.6662			-2.0343470475295287	2012-09-04
20053	VNXUTPREUR	VNX UTILITIES TR (EUR)	EUR	1000	P	VNXUTPRVND	344827586.206897	99200253.06366712	287.68073388463426	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	29810.68			304.0792			-5.392827301362852	2012-09-04
20054	VNXBMTRVND	VNX BASIC MATERIALS TR	VND	1000	R	VNXBMPRVND	10000000000000	14803791408000	1572.0839193562765	2012-09-13	00:00:00	1	1	0	0	528706836000	0	0	0	Sectors	1			1598.191	1480.3791408	0	-1.6335394607855707	2012-09-04
20055	VNXBMTRUSD	VNX BASIC MATERIALS TR (USD)	USD	1000	R	VNXBMPRVND	476190476190.476	676281014.5271814	1414.090208791623	2012-09-13	00:00:00	1	1	0	0	24152893.375970762	0	0	0	Sectors	21890			1356.695	1420.1901305070814	0	4.230516718320843	2012-09-04
20056	VNXBMTRJPY	VNX BASIC MATERIALS TR (JPY)	JPY	1000	R	VNXBMPRVND	37735849056.6038	52495714212.76596	1689.9633314358136	2012-09-13	00:00:00	1	1	0	0	1874846936.1702127	0	0	0	Sectors	282			1667.013	1391.136426638297	0	1.3767338008650036	2012-09-04
20057	VNXBMTREUR	VNX BASIC MATERIALS TR (EUR)	EUR	1000	R	VNXBMPRVND	344827586206.897	496593549.9626308	1356.2927077094973	2012-09-13	00:00:00	1	1	0	0	17735483.927236814	0	0	0	Sectors	29810.68			1434.795	1440.1212948916273	0	-5.47132463456471	2012-09-04
20058	VNXCSTRVND	VNX CONSUMER SERVICES TR	VND	1000	R	VNXCSPRVND	10000000000000	788158560000	115.6852126298579	2012-09-13	00:00:00	1	1	0	0	105556950000	0	0	0	Sectors	1			104.3109	78.815856	0	10.90424167547006	2012-09-04
20059	VNXCSTRUSD	VNX CONSUMER SERVICES TR (USD)	USD	1000	R	VNXCSPRVND	476190476190.476	36005416.17176793	69.26965957226784	2012-09-13	00:00:00	1	1	0	0	4822153.9515760625	0	0	0	Sectors	21890			69.26038	75.61137396071268	0	0.013398096094539404	2012-09-04
20060	VNXCSTRJPY	VNX CONSUMER SERVICES TR (JPY)	JPY	1000	R	VNXCSPRVND	37735849056.6038	2794888510.638298	103.21278182429215	2012-09-13	00:00:00	1	1	0	0	374315425.5319149	0	0	0	Sectors	282			92.88238	74.06454553191485	0	11.122025323093737	2012-09-04
20061	VNXCSTREUR	VNX CONSUMER SERVICES TR (EUR)	EUR	1000	R	VNXCSPRVND	344827586206.897	26438798.44404757	78.73570197008625	2012-09-13	00:00:00	1	1	0	0	3540910.505899228	0	0	0	Sectors	29810.68			82.22438	76.67251548773784	0	-4.2428754463259475	2012-09-04
20062	VNXFITRVND	VNX FINANCIALS TR	VND	1000	R	VNXFIPRVND	10000000000000	10683771510000	927.5800824124118	2012-09-13	00:00:00	5	1	0	0	50000000000	0	0	0	Sectors	1			942.607	1068.377151	0	-1.5941869291855644	2012-09-04
20063	VNXFITRUSD	VNX FINANCIALS TR (USD)	USD	1000	R	VNXFIPRVND	476190476190.476	488066309.27364093	964.5801101981745	2012-09-13	00:00:00	5	1	0	0	2284148.012791229	0	0	0	Sectors	21890			933.8735	1024.9392494746464	0	3.2880909671571596	2012-09-04
20064	VNXFITRJPY	VNX FINANCIALS TR (JPY)	JPY	1000	R	VNXFIPRVND	37735849056.6038	37885714574.46809	1052.7193752526591	2012-09-13	00:00:00	5	1	0	0	177304964.5390071	0	0	0	Sectors	282			1026.549	1003.9714362234037	0	2.549354707145898	2012-09-04
20065	VNXFITREUR	VNX FINANCIALS TR (EUR)	EUR	1000	R	VNXFIPRVND	344827586206.897	358387380.29457897	987.5359713583254	2012-09-13	00:00:00	5	1	0	0	1677251.240159567	0	0	0	Sectors	29810.68			1018.629	1039.3234028542777	0	-3.052438978438142	2012-09-04
20066	VNXINTRVND	VNX INDUSTRIALS TR	VND	1000	R	VNXINPRVND	10000000000000	12555633734400	1457.7818717248695	2012-09-13	00:00:00	15	1	0	0	461428473000	0	0	0	Sectors	1			1362.3	1255.56337344	0	7.008872621659657	2012-09-04
20067	VNXINTRUSD	VNX INDUSTRIALS TR (USD)	USD	1000	R	VNXINPRVND	476190476190.476	573578516.8752855	1131.793485045897	2012-09-13	00:00:00	15	1	0	0	21079418.592964824	0	0	0	Sectors	21890			1131.752	1204.5148854381	0	0.003665559760171312	2012-09-04
20068	VNXINTRJPY	VNX INDUSTRIALS TR (JPY)	JPY	1000	R	VNXINPRVND	37735849056.6038	44523523880.85107	1403.1581352681924	2012-09-13	00:00:00	15	1	0	0	1636271180.8510637	0	0	0	Sectors	282			1311.317	1179.8733828425527	0	7.003732527542339	2012-09-04
20069	VNXINTREUR	VNX INDUSTRIALS TR (EUR)	EUR	1000	R	VNXINPRVND	344827586206.897	421179045.0402339	1111.789067447362	2012-09-13	00:00:00	15	1	0	0	15478629.571683705	0	0	0	Sectors	29810.68			1111.748	1221.4192306166767	0	0.0036939528887761468	2012-09-04
20070	VNXOGTRVND	VNX OIL & GAS TR	VND	1000	R	VNXOGPRVND	10000000000000	13957715385000	1627.2731777104718	2012-09-13	00:00:00	5	1	0	0	700764606800	0	0	0	Sectors	1			1631.848	1395.7715385	0	-0.2803461038974297	2012-09-04
20071	VNXOGTRUSD	VNX OIL & GAS TR (USD)	USD	1000	R	VNXOGPRVND	476190476190.476	637629757.1950662	1416.4518888936018	2012-09-13	00:00:00	5	1	0	0	32013001.68113294	0	0	0	Sectors	21890			1447.062	1339.0224901096394	0	-2.1153282379330056	2012-09-04
20072	VNXOGTRJPY	VNX OIL & GAS TR (JPY)	JPY	1000	R	VNXOGPRVND	37735849056.6038	49495444627.65958	1726.787114271074	2012-09-13	00:00:00	5	1	0	0	2484980875.1773047	0	0	0	Sectors	282			1611.061	1311.629282632978	0	7.183223619159923	2012-09-04
20073	VNXOGTREUR	VNX OIL & GAS TR (EUR)	EUR	1000	R	VNXOGPRVND	344827586206.897	468211908.78571033	1407.6676750953309	2012-09-13	00:00:00	5	1	0	0	23507166.116304625	0	0	0	Sectors	29810.68			1472.192	1357.8145354785581	0	-4.382874306114225	2012-09-04
20074	VNXUTTRVND	VNX UTILITIES TR	VND	1000	R	VNXUTPRVND	10000000000000	2957227000000	293.8777	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	1			293.8777	295.7227	0	0	2012-09-04
20075	VNXUTTRUSD	VNX UTILITIES TR (USD)	USD	1000	R	VNXUTPRVND	476190476190.476	135094883.50845134	318.25601412739695	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	21890			308.8432	283.6992553677479	0	3.0477647321996817	2012-09-04
20076	VNXUTTRJPY	VNX UTILITIES TR (JPY)	JPY	1000	R	VNXUTPRVND	37735849056.6038	10486620567.375887	244.2756902208849	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	282			249.3483	277.8954450354608	0	-2.0343470475295335	2012-09-04
20077	VNXUTTREUR	VNX UTILITIES (EUR)	EUR	1000	R	VNXUTPRVND	344827586206.897	99200253.06366712	274.7514338421204	2012-09-13	00:00:00	3	1	0	0	0	0	0	0	Sectors	29810.68			290.4129	287.68073388463426	0	-5.392827301362853	2012-09-04
