STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PVT	PVN Transportation	232600000	100	100	11.9	VND	0.001	1	11.9	"2,767,940,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	9.41%						0
PXI	Petroleum Industrial and Civil Construction	30000000	100	100	7	VND	0.001	1	7	"210,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.71%						0
PXM	Mientrung Petroleum Construction	15000000	100	100	15.6	VND	0.001	1	15.6	"234,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.80%						0
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	8	VND	0.001	1	8	"300,144,008,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	1.02%						0
PXT	Petroleum Pipeline and Tank Construction	20000000	100	100	10.2	VND	0.001	1	10.2	"204,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.69%						0
PCT	Cuu Long Petro Gas Service Transportation	23000000	100	100	5.8	VND	0.001	1	5.8	"133,400,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.45%						0
PPS	Petro Vietnam Power Services Joint Stock Company	15000000	100	100	12.5	VND	0.001	1	12.5	"187,500,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.64%						0
PVE	PVN Investment Consultancy and Engineering	18000000	100	100	6.8	VND	0.001	1	6.8	"122,400,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.42%						0
PVX	PVN Construction	250000000	100	100	7	VND	0.001	1	7	"1,750,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	5.95%						0
PSP	Dinh Vu Petroleum Service Port	22500000	100	100	7	VND	0.001	1	7	"157,500,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.54%						0
PTT	Indochina Petroleum Transportation	10000000	100	100	10.8	VND	0.001	1	10.8	"108,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNINPRVND	0.37%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	12.3	VND	0.001	1	12.3	"527,670,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNOGPRVND	1.79%						0
PVD	PVN Drilling & Well Services	209740215	100	100	8	VND	0.001	1	8	"1,677,921,720,000"	10/11/2011	0:00:00	  	  	  	VND	PVNOGPRVND	5.70%						0
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	5.9	VND	0.001	1	5.9	"111,333,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNOGPRVND	0.38%						0
PSG	Saigon Petroleum Constrution And Investment JSC	35000000	100	100	4.6	VND	0.001	1	4.6	"161,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNOGPRVND	0.55%						0
PVS	PVN Technical Services	297802094	100	100	4.5	VND	0.001	1	4.5	"1,340,109,423,000"	10/11/2011	0:00:00	"357,362,512,800"	1.2	1.2	VND	PVNOGPRVND	4.55%						0
POV	Vung Ang Petroleum	10000000	100	100	3.5	VND	0.001	1	3.5	"35,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNOGPRVND	0.12%						0
PGS	PVN Southern Gas	38000000	100	100	3.4	VND	0.001	1	3.4	"129,200,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNUTPRVND	0.44%						0
PVG	PVN Northern Gas	27719850	100	100	2.6	VND	0.001	1	2.6	"72,071,610,000"	10/11/2011	0:00:00	  	  	  	VND	PVNUTPRVND	0.24%						0
NT2	PVN Power NhonTrach 2	256000000	100	100	6	VND	0.001	1	6	"1,536,000,000,000"	10/11/2011	0:00:00	  	  	  	VND	PVNUTPRVND	5.22%						0
