STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_DATE	NXT_SCURR_CONV	NXT_SMCAP_IDX
PVT	PVN Transportation	232600000	100	100	4300	VND	1	1	4300	1.00018E+12	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	2.53%						0			
PET	PVN General Services	30000000	100	100	11200	VND	1	1	11200	3.36E+11	9/13/2012	0:00:00	45000000000	"1,500.00"	"1,500.00"	VND	PVNHSXPRVND	0.85%						0			
PTL	Petro Capital and Infrastructure Investment	15000000	100	100	2900	VND	1	1	2900	43500000000	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	0.11%						0			
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400	VND	1	1	9400	3.52669E+11	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	0.89%						0			
PXI	Petroleum Industrial and Civil Construction	20000000	100	100	4000	VND	1	1	4000	80000000000	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	0.20%						0			
PXT	Petroleum Pipeline and Tank Construction	42900000	100	100	4200	VND	1	1	4200	1.8018E+11	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	0.46%						0			
PXM	Mientrung Petroleum Construction	209740215	100	100	3200	VND	1	1	3200	6.71169E+11	9/13/2012	0:00:00		  	  	VND	PVNHSXPRVND	1.70%						0			
PVS	PVN Technical Services	50000000	100	100	15200	VND	1	1	15200	7.6E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	1.92%						0			
PVX	PVN Construction	35000000	100	100	5200	VND	1	1	5200	1.82E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.46%						0			
PVI	PVN Insurance	2000000	100	100	15900	VND	1	1	15900	31800000000	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.08%						0			
PGS	PVN Southern Gas	59841300	100	100	17100	VND	1	1	17100	1.02329E+12	9/13/2012	0:00:00	71809560000	"1,200.00"	"1,200.00"	VND	PVNHNXPRVND	2.59%						0			
PVC	Drilling Mud Corp	157531264	100	100	12700	VND	1	1	12700	2.00065E+12	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	5.07%						0			
PVR	PVN Premier Recreation	52356713	100	100	3600	VND	1	1	3600	1.88484E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.48%						0			
PVG	PVN Northern Gas	23000000	100	100	9300	VND	1	1	9300	2.139E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.54%						0			
PSI	PVN Securities Incorporated	15000000	100	100	3600	VND	1	1	3600	54000000000	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.14%						0			
PFL	Petro Dong Do Joint Stock Company	18000000	100	100	2700	VND	1	1	2700	48600000000	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.12%						0			
PSG	Saigon Petroleum Constrution And Investment JSC	250000000	100	100	1300	VND	1	1	1300	3.25E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.82%						0			
PVE	PVN Investment Consultancy and Engineering	18870000	100	100	9600	VND	1	1	9600	1.81152E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.46%						0			
PPS	Petro Vietnam Power Services Joint Stock Company	35000000	100	100	7200	VND	1	1	7200	2.52E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.64%						0			
PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100	VND	1	1	6100	1.81659E+12	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	4.60%						0			
PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900	VND	1	1	2900	1.102E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	0.28%						0			
PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400	VND	1	1	35400	9.81283E+11	9/13/2012	0:00:00		  	  	VND	PVNHNXPRVND	2.48%						0			
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200	VND	1	1	39200	1.48038E+13	9/13/2012	0:00:00	5.28707E+11	"1,400.00"	"1,400.00"	VND	PVNBMPRVND	37.49%						0			
PET	PVN General Services	70371300	100	100	11200	VND	1	1	11200	7.88159E+11	9/13/2012	0:00:00	1.05557E+11	"1,500.00"	"1,500.00"	VND	PVNCSPRVND	2.00%						0			
