id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV
20027	PVNHNXTRUSD	PVN ALLSHARE HNX TR (USD)	USD	1000	R	PVNHNXPRVND	380952380952.38	589930586.86	1613.80	2012/09/12	0:00:00	15	1	0	1099.69	0.00	0	  	  	Benchmark	21890.000000
20028	PVNHNXTRJPY	PVN ALLSHARE HNX TR (JPY)	JPY	1000	R	PVNHNXPRVND	30188679245.28	45792838817.02	1582.41	2012/09/12	0:00:00	15	1	0	1073.35	0.00	0	  	  	Benchmark	282.000000
20029	PVNHNXTREUR	PVN ALLSHARE HNX TR (EUR)	EUR	1000	R	PVNHNXPRVND	275862068965.52	433186379.73	1636.91	2012/09/12	0:00:00	15	1	0	1100.80	0.00	0	  	  	Benchmark	29810.680000
20030	PVNBMPRVND	PVN BASIC MATERIALS 	VND	1000	P	PVNBMPRVND	10000000000000.00	12462375420000.00	1246.24	2012/09/12	0:00:00	1	1	0	1344.23	0.00	0	  	  	Sectors	1.000000
20031	PVNBMPRUSD	PVN BASIC MATERIALS (USD)	USD	1000	P	PVNBMPRVND	476190476.19	569318201.01	1195.57	2012/09/12	0:00:00	1	1	0	1353.54	0.00	0	  	  	Sectors	21890.000000
20032	PVNBMPRJPY	PVN BASIC MATERIALS (JPY)	JPY	1000	P	PVNBMPRVND	37735849056.60	44192820638.30	1171.11	2012/09/12	0:00:00	1	1	0	1320.03	0.00	0	  	  	Sectors	282.000000
20033	PVNBMPREUR	PVN BASIC MATERIALS (EUR)	EUR	1000	P	PVNBMPRVND	344827586.21	418050692.57	1212.35	2012/09/12	0:00:00	1	1	0	1353.50	0.00	0	  	  	Sectors	29810.680000
20034	PVNCSPRVND	PVN CONSUMER SERVICES 	VND	1000	P	PVNCSPRVND	10000000000000.00	844455600000.00	84.45	2012/09/12	0:00:00	1	1	0	85.25	0.00	0	  	  	Sectors	1.000000
20035	PVNCSPRUSD	PVN CONSUMER SERVICES (USD)	USD	1000	P	PVNCSPRVND	476190476.19	38577231.61	81.01	2012/09/12	0:00:00	1	1	0	85.93	0.00	0	  	  	Sectors	21890.000000
20036	PVNCSPRJPY	PVN CONSUMER SERVICES (JPY)	JPY	1000	P	PVNCSPRVND	37735849056.60	2994523404.26	79.35	2012/09/12	0:00:00	1	1	0	83.04	0.00	0	  	  	Sectors	282.000000
20037	PVNCSPREUR	PVN CONSUMER SERVICES (EUR)	EUR	1000	P	PVNCSPRVND	344827586.21	28327284.05	82.15	2012/09/12	0:00:00	1	1	0	85.26	0.00	0	  	  	Sectors	29810.680000
20038	PVNFIPRVND	PVN FINANCIALS 	VND	1000	P	PVNFIPRVND	10000000000000.00	5455492540000.00	545.55	2012/09/12	0:00:00	5	1	0	1113.79	0.00	0	  	  	Sectors	1.000000
20039	PVNFIPRUSD	PVN FINANCIALS (USD)	USD	1000	P	PVNFIPRVND	476190476.19	249223048.88	523.37	2012/09/12	0:00:00	5	1	0	1120.91	0.00	0	  	  	Sectors	21890.000000
20040	PVNFIPRJPY	PVN FINANCIALS (JPY)	JPY	1000	P	PVNFIPRVND	37735849056.60	19345718226.95	512.66	2012/09/12	0:00:00	5	1	0	1093.81	0.00	0	  	  	Sectors	282.000000
20041	PVNFIPREUR	PVN FINANCIALS (EUR)	EUR	1000	P	PVNFIPRVND	344827586.21	183004632.57	530.71	2012/09/12	0:00:00	5	1	0	1122.01	0.00	0	  	  	Sectors	29810.680000
20042	PVNINPRVND	PVN INDUSTRIALS 	VND	1000	P	PVNINPRVND	10000000000000.00	8652808728000.00	865.28	2012/09/12	0:00:00	15	1	0	617.68	0.00	0	  	  	Sectors	1.000000
20043	PVNINPRUSD	PVN INDUSTRIALS (USD)	USD	1000	P	PVNINPRVND	476190476.19	395285917.22	830.10	2012/09/12	0:00:00	15	1	0	621.45	0.00	0	  	  	Sectors	21890.000000
20044	PVNINPRJPY	PVN INDUSTRIALS (JPY)	JPY	1000	P	PVNINPRVND	37735849056.60	30683718893.62	813.12	2012/09/12	0:00:00	15	1	0	606.76	0.00	0	  	  	Sectors	282.000000
20045	PVNINPREUR	PVN INDUSTRIALS (EUR)	EUR	1000	P	PVNINPRVND	344827586.21	290258683.40	841.75	2012/09/12	0:00:00	15	1	0	622.12	0.00	0	  	  	Sectors	29810.680000
20046	PVNOGPRVND	PVN OIL & GAS 	VND	1000	P	PVNOGPRVND	10000000000000.00	4267255097000.00	426.73	2012/09/12	0:00:00	5	1	0	385.39	0.00	0	  	  	Sectors	1.000000
20047	PVNOGPRUSD	PVN OIL & GAS (USD)	USD	1000	P	PVNOGPRVND	476190476.19	194940845.00	409.38	2012/09/12	0:00:00	5	1	0	388.19	0.00	0	  	  	Sectors	21890.000000
20048	PVNOGPRJPY	PVN OIL & GAS (JPY)	JPY	1000	P	PVNOGPRVND	37735849056.60	15132110273.05	401.00	2012/09/12	0:00:00	5	1	0	378.90	0.00	0	  	  	Sectors	282.000000
20049	PVNOGPREUR	PVN OIL & GAS (EUR)	EUR	1000	P	PVNOGPRVND	344827586.21	143145178.07	415.12	2012/09/12	0:00:00	5	1	0	388.26	0.00	0	  	  	Sectors	29810.680000
20050	PVNUTPRVND	PVN UTILITIES 	VND	1000	P	PVNUTPRVND	10000000000000.00	2175003000000.00	217.50	2012/09/12	0:00:00	3	1	0	174.56	0.00	0	  	  	Sectors	1.000000
20051	PVNUTPRUSD	PVN UTILITIES (USD)	USD	1000	P	PVNUTPRVND	476190476.19	99360575.61	208.66	2012/09/12	0:00:00	3	1	0	175.80	0.00	0	  	  	Sectors	21890.000000
20052	PVNUTPRJPY	PVN UTILITIES (JPY)	JPY	1000	P	PVNUTPRVND	37735849056.60	7712776595.74	204.39	2012/09/12	0:00:00	3	1	0	170.81	0.00	0	  	  	Sectors	282.000000
20053	PVNUTPREUR	PVN UTILITIES TR (EUR)	EUR	1000	P	PVNUTPRVND	344827586.21	72960529.58	211.59	2012/09/12	0:00:00	3	1	0	175.25	0.00	0	  	  	Sectors	29810.680000
20054	PVNBMTRVND	PVN BASIC MATERIALS TR 	VND	1000	R	PVNBMPRVND	10000000000000.00	12462375420000.00	1281.22	2012/09/12	0:00:00	1	1	0	1381.97	0.00	0	  	  	Sectors	1.000000
20055	PVNBMTRUSD	PVN BASIC MATERIALS TR (USD)	USD	1000	R	PVNBMPRVND	476190476190.48	569318201.01	1228.50	2012/09/12	0:00:00	1	1	0	1390.83	0.00	0	  	  	Sectors	21890.000000
20056	PVNBMTRJPY	PVN BASIC MATERIALS TR (JPY)	JPY	1000	R	PVNBMPRVND	37735849056.60	44192820638.30	1203.79	2012/09/12	0:00:00	1	1	0	1356.87	0.00	0	  	  	Sectors	282.000000
20057	PVNBMTREUR	PVN BASIC MATERIALS TR (EUR)	EUR	1000	R	PVNBMPRVND	344827586206.90	418050692.57	1246.41	2012/09/12	0:00:00	1	1	0	1391.54	0.00	0	  	  	Sectors	29810.680000
20058	PVNCSTRVND	PVN CONSUMER SERVICES TR 	VND	1000	R	PVNCSPRVND	10000000000000.00	844455600000.00	84.34	2012/09/12	0:00:00	1	1	0	85.14	0.00	0	  	  	Sectors	1.000000
20059	PVNCSTRUSD	PVN CONSUMER SERVICES TR (USD)	USD	1000	R	PVNCSPRVND	476190476190.48	38577231.61	80.50	2012/09/12	0:00:00	1	1	0	85.40	0.00	0	  	  	Sectors	21890.000000
20060	PVNCSTRJPY	PVN CONSUMER SERVICES TR (JPY)	JPY	1000	R	PVNCSPRVND	37735849056.60	2994523404.26	79.67	2012/09/12	0:00:00	1	1	0	83.38	0.00	0	  	  	Sectors	282.000000
20061	PVNCSTREUR	PVN CONSUMER SERVICES TR (EUR)	EUR	1000	R	PVNCSPRVND	344827586206.90	28327284.05	82.74	2012/09/12	0:00:00	1	1	0	85.88	0.00	0	  	  	Sectors	29810.680000
20062	PVNFITRVND	PVN FINANCIALS TR 	VND	1000	R	PVNFIPRVND	10000000000000.00	5455492540000.00	545.67	2012/09/12	0:00:00	5	1	0	1114.03	0.00	0	  	  	Sectors	1.000000
20063	PVNFITRUSD	PVN FINANCIALS TR (USD)	USD	1000	R	PVNFIPRVND	476190476190.48	249223048.88	523.62	2012/09/12	0:00:00	5	1	0	1121.46	0.00	0	  	  	Sectors	21890.000000
20064	PVNFITRJPY	PVN FINANCIALS TR (JPY)	JPY	1000	R	PVNFIPRVND	37735849056.60	19345718226.95	512.58	2012/09/12	0:00:00	5	1	0	1093.63	0.00	0	  	  	Sectors	282.000000
20065	PVNFITREUR	PVN FINANCIALS TR (EUR)	EUR	1000	R	PVNFIPRVND	344827586206.90	183004632.57	530.79	2012/09/12	0:00:00	5	1	0	1122.16	0.00	0	  	  	Sectors	29810.680000
20066	PVNINTRVND	PVN INDUSTRIALS TR 	VND	1000	R	PVNINPRVND	10000000000000.00	8652808728000.00	865.29	2012/09/12	0:00:00	15	1	0	617.68	0.00	0	  	  	Sectors	1.000000
20067	PVNINTRUSD	PVN INDUSTRIALS TR (USD)	USD	1000	R	PVNINPRVND	476190476190.48	395285917.22	830.07	2012/09/12	0:00:00	15	1	0	621.43	0.00	0	  	  	Sectors	21890.000000
20068	PVNINTRJPY	PVN INDUSTRIALS TR (JPY)	JPY	1000	R	PVNINPRVND	37735849056.60	30683718893.62	813.00	2012/09/12	0:00:00	15	1	0	606.68	0.00	0	  	  	Sectors	282.000000
20069	PVNINTREUR	PVN INDUSTRIALS TR (EUR)	EUR	1000	R	PVNINPRVND	344827586206.90	290258683.40	841.99	2012/09/12	0:00:00	15	1	0	622.29	0.00	0	  	  	Sectors	29810.680000
20070	PVNOGTRVND	PVN OIL & GAS TR 	VND	1000	R	PVNOGPRVND	10000000000000.00	4267255097000.00	466.76	2012/09/12	0:00:00	5	1	0	421.55	0.00	0	  	  	Sectors	1.000000
20071	PVNOGTRUSD	PVN OIL & GAS TR (USD)	USD	1000	R	PVNOGPRVND	476190476190.48	194940845.00	447.43	2012/09/12	0:00:00	5	1	0	424.27	0.00	0	  	  	Sectors	21890.000000
20072	PVNOGTRJPY	PVN OIL & GAS TR (JPY)	JPY	1000	R	PVNOGPRVND	37735849056.60	15132110273.05	438.15	2012/09/12	0:00:00	5	1	0	414.00	0.00	0	  	  	Sectors	282.000000
20073	PVNOGTREUR	PVN OIL & GAS TR (EUR)	EUR	1000	R	PVNOGPRVND	344827586206.90	143145178.07	453.64	2012/09/12	0:00:00	5	1	0	424.29	0.00	0	  	  	Sectors	29810.680000
20074	PVNUTTRVND	PVN UTILITIES TR 	VND	1000	R	PVNUTPRVND	10000000000000.00	2175003000000.00	216.78	2012/09/12	0:00:00	3	1	0	173.98	0.00	0	  	  	Sectors	1.000000
20075	PVNUTTRUSD	PVN UTILITIES TR (USD)	USD	1000	R	PVNUTPRVND	476190476190.48	99360575.61	208.48	2012/09/12	0:00:00	3	1	0	175.66	0.00	0	  	  	Sectors	21890.000000
20076	PVNUTTRJPY	PVN UTILITIES TR (JPY)	JPY	1000	R	PVNUTPRVND	37735849056.60	7712776595.74	204.13	2012/09/12	0:00:00	3	1	0	170.60	0.00	0	  	  	Sectors	282.000000
20077	PVNUTTREUR	PVN UTILITIES (EUR)	EUR	1000	R	PVNUTPRVND	344827586206.90	72960529.58	211.33	2012/09/12	0:00:00	3	1	0	175.04	0.00	0	  	  	Sectors	29810.680000
