STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	IDX_CODE	DATES
PSG	Saigon Petroleum Constrution And Investment JSC	250000000 	100	100	PVNHNXPRVND	2012/09/12
PVE	PVN Investment Consultancy and Engineering	18870000 	100	100	PVNHNXPRVND	2012/09/12
PPS	Petro Vietnam Power Services Joint Stock Company	35000000 	100	100	PVNHNXPRVND	2012/09/12
PCG	PetroVietnam Gas City Investment and Development JSC	297802094 	100	100	PVNHNXPRVND	2012/09/12
PCT	Cuu Long Petro Gas Service Transportation	38000000 	100	100	PVNHNXPRVND	2012/09/12
PPE	PetroVietnam Power Engineering Consulting JSC	27719850 	100	100	PVNHNXPRVND	2012/09/12
DPM	PVN Fertilizer and Chemicals	377647740 	100	100	PVNBMPRVND	2012/09/12
PET	PVN General Services	70371300 	100	100	PVNCSPRVND	2012/09/12
PVF	PVN Finance	100000000 	100	100	PVNFIPRVND	2012/09/12
PVI	PVN Insurance	600000000 	100	100	PVNFIPRVND	2012/09/12
PTL	Petro Capital and Infrastructure Investment	50000000 	100	100	PVNFIPRVND	2012/09/12
PSI	PVN Securities Incorporated	2000000 	100	100	PVNFIPRVND	2012/09/12
PFL	Petro Dong Do Joint Stock Company	59841300 	100	100	PVNFIPRVND	2012/09/12
PVT	PVN Transportation	232600000 	100	100	PVNINPRVND	2012/09/12
PXI	Petroleum Industrial and Civil Construction	30000000 	100	100	PVNINPRVND	2012/09/12
PXM	Mientrung Petroleum Construction	15000000 	100	100	PVNINPRVND	2012/09/12
PXS	Petroleum Equipment Assembly and Metal Structure	37518001 	100	100	PVNINPRVND	2012/09/12
PXT	Petroleum Pipeline and Tank Construction	20000000 	100	100	PVNINPRVND	2012/09/12
PCT	Cuu Long Petro Gas Service Transportation	23000000 	100	100	PVNINPRVND	2012/09/12
PPS	Petro Vietnam Power Services Joint Stock Company	15000000 	100	100	PVNINPRVND	2012/09/12
PVE	PVN Investment Consultancy and Engineering	18000000 	100	100	PVNINPRVND	2012/09/12
PVX	PVN Construction	250000000 	100	100	PVNINPRVND	2012/09/12
PSP	Dinh Vu Petroleum Service Port	22500000 	100	100	PVNINPRVND	2012/09/12
PTT	Indochina Petroleum Transportation	10000000 	100	100	PVNINPRVND	2012/09/12
PGD	PVN Low Pressure Gas Distribution	42900000 	100	100	PVNINPRVND	2012/09/12
PVD	PVN Drilling & Well Services	209740215 	100	100	PVNINPRVND	2012/09/12
PCG	PetroVietnam Gas City Investment and Development JSC	18870000 	100	100	PVNINPRVND	2012/09/12
PSG	Saigon Petroleum Constrution And Investment JSC	35000000 	100	100	PVNINPRVND	2012/09/12
PVD	PVN Drilling & Well Services	297802094 	100	100	PVNOGPRVND	2012/09/12
PVS	PVN Technical Services	10000000 	100	100	PVNOGPRVND	2012/09/12
PGS	PVN Southern Gas	38000000 	100	100	PVNOGPRVND	2012/09/12
PVC	Drilling Mud Corp	27719850 	100	100	PVNOGPRVND	2012/09/12
PVG	PVN Northern Gas	256000000 	100	100	PVNOGPRVND	2012/09/12
PGD	PVN Low Pressure Gas Distribution	42900000 	100	100	PVNUTPRVND	2012/09/12
NT2	PVN Power NhonTrach 2	256000000 	100	100	PVNUTPRVND	2012/09/12
PCG	PetroVietnam Gas City Investment and Development JSC	18870000 	100	100	PVNUTPRVND	2012/09/12
