TICKER	DATES	TIMES	STK_LAST
LUT	2012/09/11	12:00:00	57000
MAC	2012/09/11	12:00:00	35000
MAFPF1	2012/09/11	12:00:00	35000
MAX	2012/09/11	12:00:00	61000
MBB	2012/09/11	12:00:00	135000
MCC	2012/09/11	12:00:00	0
MCF	2012/09/11	12:00:00	102000
MCG	2012/09/11	12:00:00	41000
MCL	2012/09/11	12:00:00	22000
MCO	2012/09/11	12:00:00	0
MCP	2012/09/11	12:00:00	142000
MDC	2012/09/11	12:00:00	100000
MDG	2012/09/11	12:00:00	37000
MEC	2012/09/11	12:00:00	45000
MHC	2012/09/11	12:00:00	28000
MHL	2012/09/11	12:00:00	0
MIC	2012/09/11	12:00:00	110000
MIH	2012/09/11	12:00:00	0
MIM	2012/09/11	12:00:00	0
MKV	2012/09/11	12:00:00	77000
MMC	2012/09/11	12:00:00	85000
MNC	2012/09/11	12:00:00	0
MPC	2012/09/11	12:00:00	285000
MSN	2012/09/11	12:00:00	1020000
MTG	2012/09/11	12:00:00	33000
NAG	2012/09/11	12:00:00	35000
NAV	2012/09/11	12:00:00	65000
NBB	2012/09/11	12:00:00	323000
NBC	2012/09/11	12:00:00	126000
NBP	2012/09/11	12:00:00	0
NDN	2012/09/11	12:00:00	61000
NET	2012/09/11	12:00:00	385000
NGC	2012/09/11	12:00:00	0
NHA	2012/09/11	12:00:00	0
NHC	2012/09/11	12:00:00	0
NHS	2012/09/11	12:00:00	268000
NHW	2012/09/11	12:00:00	0
NIS	2012/09/11	12:00:00	53000
NKG	2012/09/11	12:00:00	112000
NLC	2012/09/11	12:00:00	122000
NNC	2012/09/11	12:00:00	323000
NPS	2012/09/11	12:00:00	0
NSC	2012/09/11	12:00:00	425000
NSN	2012/09/11	12:00:00	26000
NST	2012/09/11	12:00:00	90000
NTB	2012/09/11	12:00:00	40000
NTL	2012/09/11	12:00:00	145000
NTP	2012/09/11	12:00:00	310000
NVB	2012/09/11	12:00:00	72000
NVC	2012/09/11	12:00:00	12000
NVN	2012/09/11	12:00:00	48000
NVT	2012/09/11	12:00:00	42000
OCH	2012/09/11	12:00:00	176000
OGC	2012/09/11	12:00:00	95000
ONE	2012/09/11	12:00:00	63000
OPC	2012/09/11	12:00:00	350000
ORS	2012/09/11	12:00:00	23000
PAC	2012/09/11	12:00:00	150000
PAN	2012/09/11	12:00:00	175000
PCG	2012/09/11	12:00:00	52000
PCT	2012/09/11	12:00:00	28000
PDC	2012/09/11	12:00:00	31000
PDN	2012/09/11	12:00:00	0
PDR	2012/09/11	12:00:00	131000
PET	2012/09/11	12:00:00	111000
PFL	2012/09/11	12:00:00	28000
PGC	2012/09/11	12:00:00	109000
PGD	2012/09/11	12:00:00	390000
PGI	2012/09/11	12:00:00	81000
PGS	2012/09/11	12:00:00	167000
PGT	2012/09/11	12:00:00	32000
PHC	2012/09/11	12:00:00	0
PHH	2012/09/11	12:00:00	40000
PHR	2012/09/11	12:00:00	272000
PHS	2012/09/11	12:00:00	32000
PHT	2012/09/11	12:00:00	50000
