STK_CODE	STK_NAME	 STK_SHARES_IDX 	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	 STK_MCAP_IDX 	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	 NXT_SHARES_IDX 	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_CAP	NXT_DATE	IDEX
PXM	Mientrung Petroleum Construction	 15,000,000 	100	100	5400.000	VND	1	1.00	5400.000	 81,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.19%	  					0	 81,000,000,000 	2012/03/15	PVNACPR
PXS	Petroleum Equipment Assembly and Metal Structure	 37,518,001 	100	100	8900.000	VND	1	1.00	8900.000	 333,910,208,900 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.77%	  					0	 333,910,208,900 	2012/03/15	PVNACPR
PXT	Petroleum Pipeline and Tank Construction	 20,000,000 	100	100	5300.000	VND	1	1.00	5300.000	 106,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.24%	  					0	 106,000,000,000 	2012/03/15	PVNACPR
CNG	CNG Vietnam Joint Stock Company 	 20,312,038 	100	100	27900.000	VND	1	1.00	27900.000	 566,705,860,200 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	1.30%	 21,327,638 	100	100	27900		1	 595,041,100,200 	2012/03/15	PVNACPR
DPM	PVN Fertilizer and Chemicals	 377,644,200 	100	100	29000.000	VND	1	1.00	29000.000	 10,951,681,800,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	24.28%	  					0	 10,951,681,800,000 	2012/03/15	PVNASPR
NT2	PVN Power NhonTrach 2	 256,000,000 	100	100	4700.000	VND	1	1.00	4700.000	 1,203,200,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	2.67%	  					0	 1,203,200,000,000 	2012/03/15	PVNASPR
PCG	PetroVietnam Gas City Investment and Development JSC	 18,870,000 	100	100	4300.000	VND	1	1.00	4300.000	 81,141,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.18%	  					0	 81,141,000,000 	2012/03/15	PVNASPR
PET	PVN General Services	 69,053,120 	100	100	13100.000	VND	1	1.00	13100.000	 904,595,872,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	2.01%	  					0	 904,595,872,000 	2012/03/15	PVNASPR
PFL	Petro Dong Do Joint Stock Company	 50,000,000 	100	100	4200.000	VND	1	1.00	4200.000	 210,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.47%	  					0	 210,000,000,000 	2012/03/15	PVNASPR
PGD	PVN Low Pressure Gas Distribution	 42,900,000 	100	100	31100.000	VND	1	1.00	31100.000	 1,334,190,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	2.96%	  					0	 1,334,190,000,000 	2012/03/15	PVNASPR
