STK_CODE	STK_NAME	 STK_SHARES_IDX 	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	 STK_MCAP_IDX 	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	 NXT_SHARES_IDX 	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_CAP	NXT_DATE	IDEX
PXI	Petroleum Industrial and Civil Construction	 30,000,000 	100	100	5200.000	VND	1	1.00	5200.000	 156,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	3.62%	  					0	 156,000,000,000 	2012/03/15	PVNINPR
PXM	Mientrung Petroleum Construction	 15,000,000 	100	100	5400.000	VND	1	1.00	5400.000	 81,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	1.88%	  					0	 81,000,000,000 	2012/03/15	PVNINPR
PXS	Petroleum Equipment Assembly and Metal Structure	 37,518,001 	100	100	8900.000	VND	1	1.00	8900.000	 333,910,208,900 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	7.75%	  					0	 333,910,208,900 	2012/03/15	PVNINPR
PXT	Petroleum Pipeline and Tank Construction	 20,000,000 	100	100	5300.000	VND	1	1.00	5300.000	 106,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNINPRVND	2.46%	  					0	 106,000,000,000 	2012/03/15	PVNINPR
PGS	PVN Southern Gas	 38,000,000 	100	100	22000.000	VND	1	1.00	22000.000	 836,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNOGPRVND	6.08%	  					0	 836,000,000,000 	2012/03/15	PVNOGPR
PVC	Drilling Mud Corp	 35,000,000 	100	100	14000.000	VND	1	1.00	14000.000	 490,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNOGPRVND	3.56%	  					0	 490,000,000,000 	2012/03/15	PVNOGPR
PVD	PVN Drilling & Well Services	 209,567,165 	100	100	37100.000	VND	1	1.00	37100.000	 7,774,941,821,500 	2012/03/14	0:00:00		  	  	VND	PVNOGPRVND	56.50%	  					0	 7,774,941,821,500 	2012/03/15	PVNOGPR
PVG	PVN Northern Gas	 27,719,850 	100	100	11700.000	VND	1	1.00	11700.000	 324,322,245,000 	2012/03/14	0:00:00		  	  	VND	PVNOGPRVND	2.36%	  					0	 324,322,245,000 	2012/03/15	PVNOGPR
PVS	PVN Technical Services	 298,998,663 	100	100	14500.000	VND	1	1.00	14500.000	 4,335,480,613,500 	2012/03/14	0:00:00		  	  	VND	PVNOGPRVND	31.51%	  					0	 4,335,480,613,500 	2012/03/15	PVNOGPR
PCG	PetroVietnam Gas City Investment and Development JSC	 18,870,000 	100	100	4300.000	VND	1	1.00	4300.000	 81,141,000,000 	2012/03/14	0:00:00		  	  	VND	PVNUTPRVND	4.09%	  					0	 81,141,000,000 	2012/03/15	PVNUTPR
PGD	PVN Low Pressure Gas Distribution	 42,900,000 	100	100	31100.000	VND	1	1.00	31100.000	 1,334,190,000,000 	2012/03/14	0:00:00		  	  	VND	PVNUTPRVND	67.31%	  					0	 1,334,190,000,000 	2012/03/15	PVNUTPR
CNG	CNG Vietnam Joint Stock Company 	 20,312,038 	100	100	27900.000	VND	1	1.00	27900.000	 566,705,860,200 	2012/03/14	0:00:00		  	  	VND	PVNUTPRVND	28.59%	 21,327,638 	100	100	27900		1	 595,041,100,200 	2012/03/15	PVNUTPR
