ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
VNC	20121109	13000	13900	12100	13200	13000	13300	13000	13000	3700	48950000	101884900000
VND	20121109	7700	8200	7200	7700	8100	8200	7700	8100	1879800	14948550000	809792121600
VNF	20121109	29700	31700	27700	0	0	0	0	29700	0	0	165859650000
VNR	20121109	14200	15100	13300	14200	14300	14300	14200	14300	3900	55720000	1441835509400
VNT	20121109	15600	16600	14600	0	0	0	0	15600	0	0	84498960000
VPC	20121109	2400	2500	2300	2500	2500	2500	2500	2500	100	250000	14062500000
VTC	20121109	3000	3200	2800	0	0	0	0	3000	0	0	13587429000
VTL	20121109	29900	31900	27900	0	0	0	0	29900	0	0	53820000000
VTS	20121109	15300	16300	14300	0	0	0	0	15300	0	0	30600000000
VTV	20121109	7200	7700	6700	0	0	0	0	7200	0	0	112320000000
VXB	20121109	7200	7700	6700	0	0	0	0	7200	0	0	29152843200
WCS	20121109	39900	42600	37200	37300	37300	37300	37300	37300	100	3730000	93250000000
WSS	20121109	3700	3900	3500	3700	3900	3900	3700	3800	35800	133670000	191140000000
XMC	20121109	5400	5700	5100	5300	5300	5300	5300	5300	2400	12720000	105981344000
YBC	20121109	11200	11900	10500	0	0	0	0	11200	0	0	53890032000
