ticker	market	yyyymm	date	svolume	sturnover	svelo	nb	nbt	shares_lis	pr_cls	ssnb	ssnbt	ssturnover	ssvolume	ssvelo
KAC	HSX	201208	41152	1270550	1483185000	6.3528	23	19	20000000	12600	250	211	30637070000	9727260	48.6367
KBC	HSX	201208	41152	11033452	996718000	3.7312	23	23	295711167	8000	250	250	31514424000	75827735	25.6425
KDC	HSX	201208	41152	2025040	75012000	1.5167	23	23	133517881	32000	250	250	1129617000	32112780	25.5708
KDH	HSX	201208	41152	1828040	9253608000	4.1641	23	23	43900000	12200	250	250	28998288000	34170145	77.8362
KHA	HSX	201208	41152	1119670	3083016000	7.9295	23	23	14120309	9600	250	250	58126496000	13694190	96.9823
KHP	HSX	201208	41152	834500	6674814000	2.0084	23	23	41551296	8000	250	250	66974758000	12515760	30.1212
KMR	HSX	201208	41152	4877650	10081250000	18.1985	23	23	26849854	3300	250	250	65536054000	55602683	218.4547
KSA	HSX	201208	41152	7802859	116943000	50.5283	23	23	15442559	11600	250	250	28105805000	69708209	454.7021
KSB	HSX	201208	41152	1565200	6495386000	8.6956	23	23	18000000	17700	249	206	39396046000	23103340	189.902
KSH	HSX	201208	41152	1315690	3387373000	11.2548	23	23	11690000	7500	250	244	54802655000	26402510	225.8557
KSS	HSX	201208	41152	9239791	113645000	38.1967	23	23	24190000	7500	250	250	7183648000	82118603	339.4734
KTB	HSX	201208	41152	9008031	186002000	33.6121	23	23	26800000	7600	250	250	13754797000	69428824	259.0629
L10	HSX	201208	41152	3711700	1100414000	41.2411	23	23	9000000	8500	250	247	27775737000	22485640	249.8403
LAF	HSX	201208	41152	260630	2000552000	1.7696	23	23	14728019	7400	250	250	60584763000	19015570	129.1113
LBM	HSX	201208	41152	776440	4125298000	9.1346	23	23	8500000	9200	250	250	51508808000	10276570	120.9009
LCG	HSX	201208	41152	9863526	125341000	17.5352	23	23	56249956	8400	250	250	3814018000	81620884	145.1038
LCM	HSX	201208	41152	4835880	1940542000	56.4412	23	23	8568000	18100	240	240	13845321000	57407070	670.0172
LGC	HSX	201208	41152	3523920	3908423000	42.5411	23	23	8283561	20900	250	213	34122503000	18644253	225.0754
