STK_CODE	DATE	CLOSE	ADCLOSE
PVS	2011/04/29	20600.00	
PVS	2011/04/28	20100.00	
PVS	2011/04/27	20000.00	
PVS	2011/04/26	20000.00	
PVS	2011/04/25	20400.00	
PVS	2011/04/22	20200.00	
PVS	2011/04/21	20300.00	
PVS	2011/04/20	20400.00	
PVS	2011/04/19	20500.00	
PVS	2011/04/18	20500.00	
PVS	2011/04/15	21000.00	
PVS	2011/04/14	20900.00	
PVS	2011/04/13	20800.00	
PVS	2011/04/08	21000.00	
PVS	2011/04/07	20900.00	
PVS	2011/04/06	21300.00	
PVS	2011/04/05	20700.00	
PVS	2011/04/04	20700.00	
PVS	2011/04/01	20900.00	
PVS	2011/03/31	21100.00	
PVS	2011/03/30	21200.00	
PVS	2011/03/29	21200.00	
PVS	2011/03/28	21500.00	
PVS	2011/03/25	21500.00	
PVS	2011/03/24	21400.00	
PVS	2011/03/23	21800.00	
PVS	2011/03/22	21500.00	
PVS	2011/03/21	22300.00	
PVS	2011/03/18	22800.00	
PVS	2011/03/17	21600.00	
PVS	2011/03/16	21300.00	
PVS	2011/03/15	20900.00	
PVS	2011/03/14	21600.00	
PVS	2011/03/11	22800.00	
PVS	2011/03/10	22600.00	
PVS	2011/03/09	21200.00	
PVS	2011/03/08	21300.00	
PVS	2011/03/07	21300.00	
PVS	2011/03/04	21400.00	
PVS	2011/03/03	21300.00	
PVS	2011/03/02	21500.00	
PVS	2011/03/01	22500.00	
PVS	2011/02/28	23300.00	
PVS	2011/02/25	22500.00	
PVS	2011/02/24	22500.00	
PVS	2011/02/23	22000.00	
PVS	2011/02/22	21900.00	
PVS	2011/02/21	21900.00	
PVS	2011/02/18	22200.00	
PVS	2011/02/17	22600.00	
PVS	2011/02/16	22900.00	
PVS	2011/02/15	22800.00	
PVS	2011/02/14	23000.00	
PVS	2011/02/11	23300.00	
PVS	2011/02/10	23000.00	
PVS	2011/02/09	23200.00	
PVS	2011/02/08	21900.00	
PVS	2011/01/28	21300.00	
PVS	2011/01/27	21300.00	
PVS	2011/01/26	21300.00	
PVS	2011/01/25	21200.00	
PVS	2011/01/24	21400.00	
PVS	2011/01/21	20500.00	
PVS	2011/01/20	20100.00	
PVS	2011/01/19	20400.00	
PVS	2011/01/18	20300.00	
PVS	2011/01/17	20300.00	
PVS	2011/01/14	21000.00	
PVS	2011/01/13	20200.00	
PVS	2011/01/12	20100.00	
PVS	2011/01/11	20100.00	
PVS	2011/01/10	20500.00	
PVS	2011/01/07	20700.00	
PVS	2011/01/06	20900.00	
PVS	2011/01/05	20800.00	
PVS	2011/01/04	21100.00	
PVS	2010/12/31	20800.00	
PVS	2010/12/30	20800.00	
PVS	2010/12/29	20900.00	
PVS	2010/12/28	21100.00	
PVS	2010/12/27	20700.00	
PVS	2010/12/24	20400.00	
PVS	2010/12/23	20400.00	
PVS	2010/12/22	20900.00	
PVS	2010/12/21	21400.00	
PVS	2010/12/20	21300.00	
PVS	2010/12/17	20800.00	
PVS	2010/12/16	20500.00	
PVS	2010/12/15	21300.00	
PVS	2010/12/14	22200.00	
PVS	2010/12/13	23500.00	
PVS	2010/12/10	22200.00	
PVS	2010/12/08	26100.00	
PVS	2010/12/07	26200.00	
PVS	2010/12/06	26700.00	
PVS	2010/12/03	26800.00	
PVS	2010/12/02	26000.00	
PVS	2010/12/01	24600.00	
PVS	2010/11/30	25400.00	
PVS	2010/11/29	24900.00	
PVS	2010/11/26	23600.00	
PVS	2010/11/25	23400.00	
PVS	2010/11/24	23000.00	
PVS	2010/11/23	23100.00	
PVS	2010/11/22	22900.00	
PVS	2010/11/19	23500.00	
PVS	2010/11/18	23600.00	
PVS	2010/11/17	23300.00	
PVS	2010/11/16	22500.00	
PVS	2010/11/15	23300.00	
PVS	2010/11/12	24200.00	
PVS	2010/11/11	25000.00	
PVS	2010/11/10	25000.00	
PVS	2010/11/09	24800.00	
PVS	2010/11/08	25800.00	
PVS	2010/11/05	26000.00	
PVS	2010/11/04	25300.00	
PVS	2010/11/03	24900.00	
PVS	2010/11/02	25200.00	
PVS	2010/11/01	25500.00	
PVS	2010/10/29	26000.00	
PVS	2010/10/28	26000.00	
PVS	2010/10/27	25900.00	
PVS	2010/10/26	26400.00	
PVS	2010/10/25	25800.00	
PVS	2010/10/22	25700.00	
PVS	2010/10/21	25900.00	
PVS	2010/10/20	25600.00	
PVS	2010/10/19	26300.00	
PVS	2010/10/18	26900.00	
PVS	2010/10/15	27000.00	
PVS	2010/10/14	26800.00	
PVS	2010/10/13	26800.00	
PVS	2010/10/12	26500.00	
PVS	2010/10/11	27100.00	
PVS	2010/10/08	26900.00	
PVS	2010/10/07	26600.00	
PVS	2010/10/06	26600.00	
PVS	2010/10/05	25800.00	
PVS	2010/10/04	25700.00	
PVS	2010/10/01	26600.00	
PVS	2010/09/30	26800.00	
PVS	2010/09/29	27000.00	
PVS	2010/09/28	27100.00	
PVS	2010/09/27	27100.00	
PVS	2010/09/24	27100.00	
PVS	2010/09/23	27200.00	
PVS	2010/09/22	28000.00	
PVS	2010/09/21	27200.00	
PVS	2010/09/20	27300.00	
PVS	2010/09/17	27900.00	
PVS	2010/09/16	26800.00	
PVS	2010/09/15	26300.00	
PVS	2010/09/14	26800.00	
PVS	2010/09/13	25700.00	
PVS	2010/09/10	26500.00	
PVS	2010/09/09	28000.00	
PVS	2010/09/08	26800.00	
PVS	2010/09/07	27000.00	
PVS	2010/09/06	28400.00	
PVS	2010/09/01	27100.00	
PVS	2010/08/31	25700.00	
PVS	2010/08/30	24900.00	
PVS	2010/08/27	23000.00	
PVS	2010/08/26	24000.00	
PVS	2010/08/25	24100.00	
PVS	2010/08/24	25600.00	
PVS	2010/08/23	26900.00	
PVS	2010/08/20	27200.00	
PVS	2010/08/19	27600.00	
PVS	2010/08/18	27700.00	
PVS	2010/08/17	27900.00	
PVS	2010/08/16	28700.00	
PVS	2010/08/13	27800.00	
PVS	2010/08/12	26900.00	
PVS	2010/08/11	28300.00	
PVS	2010/08/10	28100.00	
