SOURCE	CODE_SRC	CODE_DWL	MARKET	LANGUAGE	INFORMATION	CODE_INFO	LOCAL	FORMAT	EXAMPLE	URL	LEVEL	LEFT	RIGHT	LEFT2	RIGHT2	PROTECT	TIME	STARTROW	DEL_BLLEF	DEL_BLRGT	DEL_FDLEFT	DEL_FDRGT	OUTPUT	STARTDATES	ENDDATES	DEL_DTLEF	DEL_DTRGT	INPUT	DELIMITOR	MULTIPAGES	LIST	BODY	META_FOLDER	PARAM	VFPGETPOST	PHPCHK	VFPCHK	DURATION
CAFEF	CAF	CAFSHRTW	ALL	VN	SHARES	SHARES				http://s.cafef.vn/Ajax/CongTy/BanLanhDao.aspx?sym=<<TICKER>>		<table id="ucBanLanhDao2_tblKLCP"	</table>			0	TODAY	1	<tr	</tr>	<td	</td>	SHARES					WEB				Y						
EXCHANGE	EXC	EXCREFHNXTW	HNX	EN	REFERENCE	REFERENCE				http://www.hnx.vn/en/web/guest/dang-niem-yet	1	CHR(34)aaDataCHR(34):[	]}			1	TODAY	1	[	]	,CHR(34)	,CHR(34)	REFERENCE					WEB		4		Y			GET			
EXCHANGE	EXC	EXCREFUPCTW	UPC	EN	REFERENCE	REFERENCE				http://www.hnx.vn/en/web/guest/143	1	CHR(34)aaDataCHR(34):[	]}			1	TODAY	1	[	]	,CHR(34)	,CHR(34)	REFERENCE					WEB		2		Y			GET			
EXCHANGE	EXC	EXCSHOUHNX	HNX	VN	REFERENCE	REFERENCE				http://www.hnx.vn/web/guest/tong-quan	1	<td colspan=2 >KLLH	</table>			1	TODAY	1	</td>		<a 	/a>	REFERENCE					WEB	VN		YES	Y			POST			
EXCHANGE	EXC	EXCSHOUUPC	UPC	VN	REFERENCE	REFERENCE				http://www.hnx.vn/web/guest/tong-quan1	1	<td colspan=2 >KLLH	</table>			1	TODAY	1	</td>		<a 	/a>	REFERENCE					WEB	VN		YES	Y			POST			
STOXPLUS	STP	STPDIVALLTW	ALL	EN	DIVIDEND	DIVIDEND				http://stoxplus.com/stoxpage/stoxpage.asp?MenuID=4&subMenuID=13&action=capital&CompanyID=<<code_stp>>	1	Dividend Yield</td>	<td colspan="9" >				TODAY	1	 <tr	/tr>	 <td	/td>	DIVIDEND					WEB				Y						
EXCHANGE	EXC	EXCREFHSXTW	HSX	VN	REFERENCE	REFERENCE				http://www.hsx.vn/hsx/Modules/Danhsach/QuickFind_Symbol.aspx?MCK=<<TICKER>>	1	TNN</font></th>	</table>			0	TODAY	1	<tr	</tr>	<td	/td>	REFERENCE					WEB	VN			Y						
STOXPLUS	STP	STPCPTALLTW	ALL	EN	CAPITAL	CAPITAL				http://www.stoxplus.com/stoxpage/stoxpage.asp?MenuID=4&subMenuID=13&action=capital&CompanyID=<<code_stp>>	1	Capital(bil)</td>	</table>			0	TODAY	1	<tr	</tr>	<td	/td>	CAPITAL					WEB				Y						
VIETSTOCK	VST	VSTDIVALLTW	ALL	VN	DIVIDEND	DIVIDEND				http://finance.vietstock.vn/Controls/Event/Data/GetEvent.ashx?type=filter&scode=&etypechild=1_1&catid=-1&fdate=01%2F30%2F2008&tdate=01%2F23%2F2013&dir=asc&page=1&psize=90000	1	{"Event":[{	]}			0	TODAY	1	"CompanyName"	Time:"\/Date(	"CompanyName"	Time:"\/Date(	DIVIDEND					WEB				Y						
STOCKBIZ	STB	STBDIVALLTW	ALL	VN	DIVIDEND	DIVIDEND				http://www.stockbiz.vn/MarketCalendar.aspx	1	Loại sự kiện	 </tbody> </table>			1	TODAY	1	<tr	/tr>	<td	/td>	DIVIDEND					WEB	VN	190		Y		Cart_ctl00_webPartManager_wp1659494906_wp1746681188_cbEvents_Callback_Param=, Cart_ctl00_webPartManager_wp1659494906_wp1746681188_cbEvents_Callback_Param=2,Cart_ctl00_webPartManager_wp1659494906_wp1746681188_cbEvents_Callback_Param=2000-1-1,Cart_ctl00_webPartManager_wp1659494906_wp1746681188_cbEvents_Callback_Param=2015-12-31, Cart_ctl00_webPartManager_wp1659494906_wp1746681188_cbEvents_Callback_Param=<<page>>	POST			
VIETSTOCK	VST	VSTDIVPATW	ALL	VN	DIVIDEND	DIVIDEND				http://finance.vietstock.vn/Controls/Event/Data/GetEvent.ashx?type=filter&scode=&etypechild=1_1&catid=-1&fdate=01%2F01%2F2000&tdate=12%2F31%2F2013&dir=asc&page=<<page>>&psize=30	1	{"Event":[{	]}			0	TODAY	1	"CompanyName"	Time:"\/Date(	"CompanyName"	Time:"\/Date(	DIVIDEND					WEB	VN	12		Y						
VIETSTOCK	VST	DIV_VST	ALL	VN	DIVIDEND	DIVIDEND				http://finance.vietstock.vn/Controls/Event/Data/GetEvent.ashx?type=filter&scode=&etypechild=1_1&catid=-1&fdate=1/29/2013&tdate=12/31/2015&dir=asc&page=1&psize=30	1	{"Event":[{	]}			0	TODAY	1	"CompanyName"	Time:"\/Date(	"CompanyName"	Time:"\/Date(	DIVIDEND					WEB	VN			Y						
STOXPLUS	STP	STPOWNERTW	ALL	EN	SHARESOLDER	SH_OLDER				http://stoxplus.com/stoxpage/stoxpage.asp?MenuID=4&subMenuID=13&action=shareholder&CompanyID=<<code_stp>>		Update</strong></td>	</table></td>			0	TODAY	1	<tr	</tr>	<td	</td>	SH_OLDER					WEB				Y						10
EXCHANGE	EXC	EXCSTAMHNX	HNX	VN	STATISTICS	STATISTICS				http://www.hnx.vn/web/guest/thong-ke	1	<tbody id="aui_3_2_0_1151	<b>Tổng cộng</b></td>			1	TODAY	1	<tr	</tr>	<td	/td>	STATISTICS					WEB	VN			Y						
EXCHANGE	EXC	EXCSTAYHNX	HNX	VN	STATISTICS	STATISTICS				http://www.hnx.vn/web/guest/thong-ke	1					0	TODAY	5	<tr	</tr>	<td	/td>	STATISTICS					WEB	VN	0		Y			POST			
EXCHANGE	EXC	EXCSTAYUPC	UPC	VN	STATISTICS	STATISTICS				http://www.hnx.vn/web/guest/ket-qua-giao-dich2	1					1	TODAY	5	<tr	</tr>	<td	/td>	STATISTICS					WEB	VN	0		Y			POST			
EXCHANGE	EXC	EXCSTAMUPC	UPC	VN	STATISTICS	STATISTICS				http://www.hnx.vn/web/guest/ket-qua-giao-dich2	1	Không GD</th>	cộng</b></td>			1	TODAY	1	<tr	</tr>	<td	/td>	STATISTICS					WEB	VN			Y						
EXCHANGE	EXC	EXCSTAMHSX	HSX	VN	STATISTICS	STATISTICS				http://www.hsx.vn/hsx/Modules/Statistic/QMGD_CK.aspx	1	(tỉ đồng)</span>	<td style="color:#F7F7F7			0	TODAY	1	<table	/table>	<td	/td>	STATISTICS					WEB	VN			Y						
