ticker	market	ftrd	ftrd_shli	ftrd_cls	enddate
HOM	HNX	2009/07/09	72000000	17000	
HOT	HSX	2011/07/21	8000000	14100	
HPB	HNX	2010/04/29	3880000	60000	
HPC	HNX	2006/12/15	5000000	54300	
HPG	HSX	2007/11/15	132000000	127000	
HPL	UPC	2010/01/26	2000000	0	
HPP	UPC	2010/08/05	5900000	55000	
HPR	HNX	2011/05/12	4800000	23500	
HPS	HNX	2006/12/25	156525	15000	
HPT	UPC	2010/06/17	5989299	18500	
HQC	HSX	2010/10/20	40000000	31000	
HRC	HSX	2006/12/26	9600000	142000	
HSC	HNX	2005/01/08	580000	69000	
HSG	HSX	2008/12/05	57038500	32000	
HSI	HSX	2007/12/21	10000000	45000	
HST	HNX	2009/12/29	1500000	13000	
HT1	HSX	2007/11/13	87000000	60500	
HT2	HSX	2009/03/26	88000000	16000	
HTB	HNX	2010/10/19	1800000	13700	
HTC	HNX	2010/05/07	3500000	74000	
HTI	HSX	2010/12/20	24949200	20000	
HTL	HSX	2011/01/10	8000000	23500	
HTP	HNX	2006/12/14	900000	27600	
HTV	HSX	2006/01/05	4800000	17000	
HU1	HSX	2011/11/03	10000000	10900	
HU1	UPC	2010/05/25	5000000	20000	2011/10/05
HU3	HSX	2011/03/18	9999944	23000	
HUT	HNX	2008/04/11	5500000	31500	
HVC	UPC	2010/10/27	6920750	10000	
HVG	HSX	2009/11/25	59999993	57500	
HVT	HNX	2009/05/08	4438713	26500	
HVX	HSX	2010/09/28	15500000	10400	
I40	UPC	2011/03/15	1539120	0	
ICF	HSX	2007/12/18	11800000	42000	
ICF	HNX	2006/12/18	11800000	30200	2007/12/03
ICG	HNX	2009/04/21	15000000	13900	
IDI	HSX	2011/06/30	38000000	14400	
IDJ	HNX	2010/09/13	32600000	17200	
IDV	HNX	2010/06/01	3528500	43000	
IFS	HSX	2006/10/17	24284160	50000	
IHK	UPC	2010/03/04	1700000	19500	
IJC	HSX	2010/04/19	54838905	36000	
ILC	HNX	2005/12/26	600000	18000	
IME	UPC	2009/12/01	3000000	0	
IMP	HSX	2006/12/04	8400000	100000	
IMT	UPC	2010/05/04	3000000	0	
IN4	UPC	2010/05/19	1200000	0	
INC	HNX	2011/07/14	1800000	13200	
INN	HNX	2010/01/22	5400000	22000	
ITA	HSX	2006/11/15	45000000	54000	
ITC	HSX	2009/10/19	23028896	66000	
ITD	HSX	2011/12/20	11610399	10000	
ITD	UPC	2009/12/04	11610399	26000	2011/12/02
ITQ	HNX	2012/10/01	10000000	12900	
IVS	HNX	2011/08/01	16100000	7000	
JSC	UPC	2010/04/22	1550000	0	
JVC	HSX	2011/06/21	24200000	24800	
KAC	HSX	2010/10/27	20000000	31900	
KBC	HSX	2009/12/18	199124330	56000	
KBC	HNX	2007/12/18	88000000	162000	2009/12/08
KBE	UPC	2010/03/01	1231060	0	
KBT	HNX	2010/07/29	2335961	25000	
KCE	UPC	2011/02/08	1500000	0	
KDC	HSX	2005/12/12	25000000	59000	
KDH	HSX	2010/02/01	33200000	48000	
KHA	HSX	2002/08/19	3245882	21500	
KHB	HNX	2010/05/19	1270000	58000	
KHL	HNX	2012/02/21	5600000	5900	
KHP	HSX	2006/12/27	16322100	24500	
KHP	HNX	2005/07/14	16322100	15000	2006/12/12
KKC	HNX	2008/08/21	5200000	108000	
KLS	HNX	2008/01/28	31500000	53000	
KMF	HNX	2007/12/14	10383054	47000	
KMR	HSX	2008/06/30	13287066	48000	
KMT	HNX	2010/12/15	9846562	14500	
KMT	UPC	2009/08/10	8870885	15000	2010/11/30
KSA	HSX	2010/07/27	12868000	60000	
KSB	HSX	2010/01/20	10700000	42000	
KSC	UPC	2010/05/28	3739823	0	
KSD	HNX	2010/04/28	5688000	50500	
KSH	HSX	2008/11/12	11690000	20000	
KSS	HSX	2010/01/04	11800000	60000	
KST	HNX	2010/12/29	2996010	25500	
KTB	HSX	2010/10/01	26800000	40000	
KTS	HNX	2010/12/31	3000000	41000	
KTT	HNX	2010/10/28	2500000	16100	
L10	HSX	2007/12/25	9000000	50000	
L14	HNX	2011/09/13	2830000	12200	
L18	HNX	2008/04/23	3500000	20300	
L35	HNX	2010/03/25	3265155	14800	
L43	HNX	2008/06/11	3500000	14900	
L44	HNX	2009/12/21	4000000	16500	
L61	HNX	2008/11/19	7015000	13700	
L62	HNX	2008/04/21	3000000	39000	
LAF	HSX	2000/12/15	1909840	17000	
LAS	HNX	2012/03/01	54050000	22100	
LBE	HNX	2008/02/22	1100000	39900	
LBM	HSX	2006/12/20	1639160	39900	
LCC	UPC	2010/05/06	4900000	0	
LCD	HNX	2010/11/15	1324000	10800	
LCG	HSX	2008/11/18	13600000	48000	
LCM	HSX	2011/09/16	8568000	22900	
LCS	HNX	2010/07/06	2500000	43000	
LDP	HNX	2010/07/20	1700000	80000	
LGC	HSX	2006/12/27	1000000	40500	
LGL	HSX	2009/10/08	8000000	36000	
