TABLE	DBF	FIELD	FIELD_DBF	HEADER	WIDTH	ALIGN	FORMAT	DECIMAL	ORDER	EDITTYPE	EDITOPTION	FIELD_LEN	EXAMPLE
IDX_COMPO	IDX_COMPO	stk_shares_idx	STK_SHARES_IDX	STKSHARESIDX	100	C	DB	0	4	text	159710364		
IDX_COMPO	IDX_COMPO	stk_float_idx	STK_FLOAT_IDX	STKFLOATIDX	100	C	DB	0	5	text	100		
IDX_COMPO	IDX_COMPO	stk_capp_idx	STK_CAPP_IDX	STKCAPPIDX	100	C	DB	0	6	text	100		
IDX_COMPO	IDX_COMPO	idx_code	IDX_CODE	IDXCODE	100	C	C	0	7	text	20	PVNASVND	
IDX_COMPO	IDX_COMPO	dates	DATES	DATES	50	C	D	0	8	text	8	40438	
IDX_COMPO	IDX_COMPO	times	TIMES	TIMES	50	C	T	0	9	text	8	0	
IDX_COMPOSITION	IDX_COMPOSITION	id	ID	ID	50	C	N	0	1	text	10	442991	
IDX_COMPOSITION	IDX_COMPOSITION	stk_code	STK_CODE	STKCODE	100	C	C	0	2	text	50	PVI	
IDX_COMPOSITION	IDX_COMPOSITION	stk_name	STK_NAME	STKNAME	100	C	C	0	3	text	50	PVN Fertilizer and Chemicals	
IDX_COMPOSITION	IDX_COMPOSITION	stk_shares_idx	STK_SHARES_IDX	STKSHARESIDX	100	C	DB	0	4	text	159710364		
IDX_COMPOSITION	IDX_COMPOSITION	stk_float_idx	STK_FLOAT_IDX	STKFLOATIDX	50	C	DB	0	5	text	100		
IDX_COMPOSITION	IDX_COMPOSITION	stk_capp_idx	STK_CAPP_IDX	STKCAPPIDX	50	C	DB	0	6	text	100		
IDX_COMPOSITION	IDX_COMPOSITION	stk_price	STK_PRICE	STKPRICE	50	C	DB	0	7	text	20.1		
IDX_COMPOSITION	IDX_COMPOSITION	stk_curr	STK_CURR	STKCURR	50	C	C	0	8	text	10	VND	
IDX_COMPOSITION	IDX_COMPOSITION	stk_mult	STK_MULT	STKMULT	50	C	DB	0	9	text	1		
IDX_COMPOSITION	IDX_COMPOSITION	curr_conv	CURR_CONV	CURRCONV	50	C	DB	0	10	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	stk_curr_conv	STK_CURR_CONV	STKCURRCONV	50	C	DB	0	11	text	0		
IDX_COMPOSITION	IDX_COMPOSITION	stk_mcap_idx	STK_MCAP_IDX	STKMCAPIDX	50	C	DB	0	12	text	0		
IDX_COMPOSITION	IDX_COMPOSITION	specs_id	SPECS_ID	SPECSID	50	C	N	0	13	text	10	22352	
IDX_COMPOSITION	IDX_COMPOSITION	dates	DATES	DATES	50	C	D	0	14	text	8	41162	
IDX_COMPOSITION	IDX_COMPOSITION	times	TIMES	TIMES	50	C	T	0	15	text	8	0.690625	
IDX_COMPOSITION	IDX_COMPOSITION	stk_dcap_idx	STK_DCAP_IDX	STKDCAPIDX	100	C	DB	0	16	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	stk_dcurr_conv	STK_DCURR_CONV	STKDCURRCONV	100	C	DB	0	17	text	NULL		
IDX_COMPOSITION	IDX_COMPOSITION	stk_dprice	STK_DPRICE	STKDPRICE	100	C	B	0	18	text	0.6		
