TICKER	DATES	TIMES	STK_LAST
VCB	2012/09/13	12:00:00	25000
VCF	2012/09/13	12:00:00	138000
VES	2012/09/13	12:00:00	1700
VFC	2012/09/13	12:00:00	0
VFG	2012/09/13	12:00:00	0
VFMVF1	2012/09/13	12:00:00	7500
VFMVF4	2012/09/13	12:00:00	4100
VFMVFA	2012/09/13	12:00:00	4100
VHC	2012/09/13	12:00:00	0
VHG	2012/09/13	12:00:00	2900
VIC	2012/09/13	12:00:00	72000
VID	2012/09/13	12:00:00	4000
VIP	2012/09/13	12:00:00	6200
VIS	2012/09/13	12:00:00	8700
VLF	2012/09/13	12:00:00	0
VMD	2012/09/13	12:00:00	15500
VNA	2012/09/13	12:00:00	3100
VNE	2012/09/13	12:00:00	6100
VNG	2012/09/13	12:00:00	5800
VNH	2012/09/13	12:00:00	3500
VNI	2012/09/13	12:00:00	4600
VNL	2012/09/13	12:00:00	12500
VNM	2012/09/13	12:00:00	106000
VNS	2012/09/13	12:00:00	25000
VOS	2012/09/13	12:00:00	2600
VPH	2012/09/13	12:00:00	3700
VPK	2012/09/13	12:00:00	18000
VRC	2012/09/13	12:00:00	5700
VSC	2012/09/13	12:00:00	31800
VSG	2012/09/13	12:00:00	1000
VSH	2012/09/13	12:00:00	10300
VSI	2012/09/13	12:00:00	7600
VST	2012/09/13	12:00:00	2700
VTB	2012/09/13	12:00:00	7900
VTF	2012/09/13	12:00:00	26200
VTO	2012/09/13	12:00:00	4600
SII	2012/09/13	12:00:00	9500
AAA	2012/09/13	12:00:00	13400
ACB	2012/09/13	12:00:00	17700
ADC	2012/09/13	12:00:00	0
ALT	2012/09/13	12:00:00	12400
ALV	2012/09/13	12:00:00	4000
AMC	2012/09/13	12:00:00	0
AME	2012/09/13	12:00:00	0
AMV	2012/09/13	12:00:00	2600
APG	2012/09/13	12:00:00	2700
API	2012/09/13	12:00:00	3200
APP	2012/09/13	12:00:00	9300
APS	2012/09/13	12:00:00	3700
ARM	2012/09/13	12:00:00	0
ASA	2012/09/13	12:00:00	14000
AVS	2012/09/13	12:00:00	3700
B82	2012/09/13	12:00:00	9300
BBS	2012/09/13	12:00:00	7000
BCC	2012/09/13	12:00:00	4200
BDB	2012/09/13	12:00:00	0
BED	2012/09/13	12:00:00	0
BHC	2012/09/13	12:00:00	0
BHT	2012/09/13	12:00:00	0
BHV	2012/09/13	12:00:00	0
BKC	2012/09/13	12:00:00	7600
BLF	2012/09/13	12:00:00	3300
BPC	2012/09/13	12:00:00	8000
BSC	2012/09/13	12:00:00	0
BST	2012/09/13	12:00:00	0
BTH	2012/09/13	12:00:00	0
BTS	2012/09/13	12:00:00	5400
BVG	2012/09/13	12:00:00	2700
BVS	2012/09/13	12:00:00	10000
BXH	2012/09/13	12:00:00	0
C92	2012/09/13	12:00:00	8800
CAN	2012/09/13	12:00:00	26000
CAP	2012/09/13	12:00:00	0
CCM	2012/09/13	12:00:00	0
CIC	2012/09/13	12:00:00	2000
CID	2012/09/13	12:00:00	0
CJC	2012/09/13	12:00:00	0
CKV	2012/09/13	12:00:00	7600
CMC	2012/09/13	12:00:00	0
CMI	2012/09/13	12:00:00	9700
CMS	2012/09/13	12:00:00	11200
CPC	2012/09/13	12:00:00	0
CSC	2012/09/13	12:00:00	8600
CT6	2012/09/13	12:00:00	0
CTA	2012/09/13	12:00:00	3900
CTB	2012/09/13	12:00:00	14600
