tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
IDX_SPECS	IDX_SPECS	publications	PUBLICATIONS	PUBLICATIONS	50	R	smallint	0	15	text		6	0	sysformat
IDX_SPECS	IDX_SPECS	idx_plast	IDX_PLAST	IDXPLAST	50	R	F	0	16	text		NULL	970.28	sysformat
IDX_SPECS	IDX_SPECS	idx_dcap	IDX_DCAP	IDXDCAP	50	R	DB	0	17	text		0	0	sysformat
IDX_SPECS	IDX_SPECS	to_adjust	TO_ADJUST	TOADJUST	50	R	smallint	0	18	text		6	0	sysformat
IDX_SPECS	IDX_SPECS	idx_mcap_nxt	IDX_MCAP_NXT	IDXMCAPNXT	50	R	DB	0	19	text		0	0	sysformat
IDX_SPECS	IDX_SPECS	idx_divisor_nxt	IDX_DIVISOR_NXT	IDXDIVISORNXT	50	R	DB	0	20	text		0	0	sysformat
IDX_SPECS	IDX_SPECS	idx_bbs	IDX_BBS	IDXBBS	200	L	C	0	21	textarea		255	Blue Chips	sysformat
IDX_SPECS	IDX_SPECS	idx_conv	IDX_CONV	IDXCONV	200	R	N	0	22	text		255	21890	sysformat
IDX_SPECS	IDX_SPECS	idx_var	IDX_VAR	IDXVAR	100	L	C	0	22	textarea		255	NULL	sysformat
IDX_SPECS	IDX_SPECS	idx_pclose	IDX_PCLOSE	IDXPCLOSE	150	R	DB	0	23	textarea			NULL	sysformat
IDX_CA	IDX_CA	id	ID	ID	50	R	N	0	0	text		10	282	sysformat
IDX_CA	IDX_CA	stk_code	STK_CODE	CODE	100	L	C	0	1	textarea		255	PVX	sysformat
IDX_CA	IDX_CA	id_ca	ID_CA	IDCA	200	L	C	0	2	textarea		255	RIGHTS	sysformat
IDX_CA	IDX_CA	dates	DATES	DATES	100	C	D	0	3	text		8	40882	sysformat
IDX_CA	IDX_CA	new_shares	NEWSHARES	NEWSHARES	200	R	N	0	4	text		11	583153266	sysformat
IDX_CA	IDX_CA	times	TIMES	TIMES	100	C	T	0	5	text		8	0.410185185	sysformat
IDX_CA	IDX_CA	ex_date	EX_DATE	EXDATE	100	C	D	0	6	text		8	40889	sysformat
IDX_CA	IDX_CA	effective_date	EFFECTIVE_DATE	EFFECTIVEDATE	100	C	D	0	7	text		8	0000-00-00	sysformat
IDX_CA	IDX_CA	title	TITLE	TITLE	200	L	C	0	8	textarea		255	PVX: Issues right for current shareholders	sysformat
IDX_CA	IDX_CA	description	DESCRIPTION	DESCRIPTION	200	CL	C	0	9	textarea		255	"<p style=""text-align: justify;"">- Intensive number..."	sysformat
IDX_CA	IDX_CA	author	AUTHOR	AUTHOR	200	L	C	0	0	textarea		64	haidn	sysformat
IDX_CA	IDX_CA	poster	POSTER	POSTER	200	CL	C	0	0	textarea		64	haidn	sysformat
IDX_CA	IDX_CA	active	ACTIVE	ACTIVE	50	R	N	0	12	text		1	1	sysformat
IDX_CA	IDX_CA	date_cre	DATE_CRE	DATECRE	100	C	D	0	13	text		8	41031	sysformat
IDX_CA	IDX_CA	date_update	DATE_UPDATE	DATEUPDATE	100	C	D	0	14	text		8	41031	sysformat
IDX_CA	IDX_CA	files	FILES	FILES	200	L	C	0	15	textarea		255	http://www.hnx.vn/default.asp?actType=2&TypeGrp=1&...	sysformat
IDX_CA	IDX_CA	language	LANGUAGE	LANGUAGE	100	L	C	0	16	textarea		255	en	sysformat
IDX_CA	IDX_CA	id_pvnca	ID_PVNCA	IDPVNCA	100	R	N	0	17	text		11	5	sysformat
IDX_CA	IDX_CA	idx_code	IDX_CODE	IDXCODE	200	L	C	0	18	textarea		255	NULL	sysformat
IDX_CA	IDX_CA	nxt_free_float	NXT_FLOAT	NEXT FLOAT	50	R	N	0	19	text		11	100	sysformat
IDX_CA	IDX_CA	nxt_capping	NXT_CAPP	NEXT CAPPING	50	R	N	0	20	text		11	100	sysformat
IDX_CA	IDX_CA	adj_close	ADJ_CLS	ADJ CLOSE	100	R	F	0	21	text			84	sysformat
IDX_CA	IDX_CA	intro	INTRO	INTRO	50	R	N	0	22	text		1		sysformat
IDX_CA	IDX_CA	removal	REMOVAL	REMOVAL	50	R	N	0	23	text		1		sysformat
STK_DIV	STK_DIV	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
STK_DIV	STK_DIV	exdate	EXDATE	EXDATE	100	C	D	0	6	text		8	40438	sysformat
STK_DIV	STK_DIV	stk_code	STK_CODE	CODE	150	L	C	0	2	textarea		255	PVE	sysformat
STK_DIV	STK_DIV	stk_name	STK_NAME	NAME	400	L	C	0	3	textarea		255	PVN Investment Consultancy & Engineering	sysformat
STK_DIV	STK_DIV	stk_divnet	STK_DIVNET	DIVNET	50	R	F	0	4	text		1		sysformat
STK_DIV	STK_DIV	stk_divgross	STK_DIVGROSS	DIVGROSS	50	R	F	0	5	text		1.5		sysformat
SUMMARY	SUMMARY	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
SUMMARY	SUMMARY	code	CODE	CODE	50	L	C	0	2	text		50	PCG	sysformat
SUMMARY	SUMMARY	name	NAME	NAME	200	L	C	0	3	textarea		255	PetroVietnam Gas City Investment and Development JSC	sysformat
SUMMARY	SUMMARY	shares	SHARES	SHARES	100	R	N	0	4	text		11	18870000	sysformat
SUMMARY	SUMMARY	float	FLOAT	FLOAT	50	R	N	0	5	text		11	100	sysformat
SUMMARY	SUMMARY	capping	CAPPING	CAPPING	50	R	N	0	6	text		11	100	sysformat
SUMMARY	SUMMARY	stk_price	STK_PRICE	PRICE	100	R	N	0	7	text		11	4300	sysformat
SUMMARY	SUMMARY	stk_mcap_idx	STK_MCAP_IDX	MCAPIDX	200	R	N	0	8	textarea		255	81141000000	sysformat
IDX_FILES	IDX_FILES	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
IDX_FILES	IDX_FILES	table	TABLE	TABLE	200	L	C	0	3	text		255	IDX_CALENDAR	sysformat
IDX_FILES	IDX_FILES	file	FILE	FILE	200	L	C	0	6	text		255	IDX_CALENDAR.TXT	sysformat
IDX_FILES	IDX_FILES	active	ACTIVE	ACTIVE	50	R	N	0	7	text		1	9	sysformat
IDX_FILES	IDX_FILES	empty	EMPTY	EMPTY	50	R	N	0	8	text		1	1	sysformat
SYS_FORMAT	SYS_FORMAT	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
SYS_FORMAT	SYS_FORMAT	tables	TABLES	TABLES	200	L	C	0	2	text		255	IDX_CALENDAR	sysformat
SYS_FORMAT	SYS_FORMAT	fields	FIELDS	FIELDS	200	L	C	0	4	text		255	id	sysformat
SYS_FORMAT	SYS_FORMAT	headers	HEADERS	HEADERS	200	L	C	0	6	text		255	ID	sysformat
SYS_FORMAT	SYS_FORMAT	widths	WIDTHS	WIDTHS	100	R	C	0	7	text		255	50	sysformat
SYS_FORMAT	SYS_FORMAT	aligns	ALIGNS	ALIGNS	100	L	C	0	8	text		255	C	sysformat
SYS_FORMAT	SYS_FORMAT	formats	FORMATS	FORMATS	100	L	C	0	9	text		255	N	sysformat
SYS_FORMAT	SYS_FORMAT	decimals	DECIMALS	DECIMALS	100	R	smallint	0	10	text		6	0	sysformat
SYS_FORMAT	SYS_FORMAT	orders	ORDERS	ORDERS	100	R	smallint	0	11	text		6	1	sysformat
SYS_FORMAT	SYS_FORMAT	edittype	EDITTYPE	EDITTYPE	100	L	C	0	12	text		255	text	sysformat
SYS_FORMAT	SYS_FORMAT	editoption	EDITOPTION	EDITOPTION	200	C	C	0	13	text		255	value |C:CENTER;L:LEFT;R:RIGHT	sysformat
SYS_FORMAT	SYS_FORMAT	descriptions	DESCRIPTIONS	DESCRIPTIONS	200	C	C	0	14	text		255	NULL	sysformat
SYS_FORMAT	SYS_FORMAT	sortable	SORTABLE	SORTABLE	100	L	C	0	15	text		10	TRUE	sysformat
IDX_SPECS	IDX_SPECS	id	ID	ID	50	R	N	0	0	text		10	19990	home
IDX_SPECS	IDX_SPECS	idx_code	IDX_CODE	CODE	200	L	C	0	2	textarea		255	PVN10PRVND	home
IDX_SPECS	IDX_SPECS	idx_name	IDX_NAME	NAME	400	L	C	0	3	textarea		255	PVN 10	home
IDX_SPECS	IDX_SPECS	idx_curr	IDX_CURR	CURRENCY	100	L	C	0	4	textarea		255	VND	home
IDX_SPECS	IDX_SPECS	idx_base	IDX_BASE	BASE	100	R	F	0	5	text		NULL	1000	home
IDX_SPECS	IDX_SPECS	idx_type	IDX_TYPE	TYPE	50	L	C	0	6	textarea		255	P	home
IDX_SPECS	IDX_SPECS	idx_mother	IDX_MOTHER	MOTHER	100	L	C	0	7	text		255	PVN10PRVND	home
IDX_SPECS	IDX_SPECS	idx_divisor	IDX_DIVISOR	DIVISOR	300	R	DB	0	8	text			3.00E+13	home
IDX_SPECS	IDX_SPECS	idx_mcap	IDX_MCAP	MARKET CAP	300	R	DB	0	9	text			3.23E+13	home
IDX_SPECS	IDX_SPECS	idx_last	IDX_LAST	LAST	150	R	DB	0	10	text		0	1076.66	home
IDX_SPECS	IDX_SPECS	dates	DATES	DATE	150	C	D	0	11	text		8	41164	home
IDX_SPECS	IDX_SPECS	times	TIMES	TIME	150	C	T	0	12	text		8	0	home
IDX_SPECS	IDX_SPECS	records	RECORDS	NB	50	R	N	0	13	text		10	10	home
IDX_SPECS	IDX_SPECS	calculs	CALCULS	CALCULS	50	R	smallint	0	0	text		6	1	home
IDX_SPECS	IDX_SPECS	publications	PUBLICATIONS	PUBLICATIONS	50	R	smallint	0	0	text		6	0	home
IDX_SPECS	IDX_SPECS	idx_plast	IDX_PLAST	PREVIOUS CLOSE	50	R	F	0	0	text		NULL	970.28	home
IDX_SPECS	IDX_SPECS	idx_dcap	IDX_DCAP	DIVIDEND	50	R	DB	0	0	text		0	0	home
IDX_SPECS	IDX_SPECS	to_adjust	TO_ADJUST	TOADJUST	50	R	smallint	0	0	text		6	0	home
IDX_SPECS	IDX_SPECS	idx_mcap_nxt	IDX_MCAP_NXT	IDXMCAPNXT	50	R	DB	0	0	text		0	0	home
IDX_SPECS	IDX_SPECS	idx_divisor_nxt	IDX_DIVISOR_NXT	IDXDIVISORNXT	50	R	DB	0	0	text		0	0	home
IDX_SPECS	IDX_SPECS	idx_bbs	IDX_BBS	IDXBBS	200	L	C	0	0	textarea		255	Blue Chips	home
IDX_SPECS	IDX_SPECS	idx_conv	IDX_CONV	IDXCONV	200	R	N	0	0	text		255	21890	home
IDX_SPECS	IDX_SPECS	idx_var	IDX_VAR	IDXVAR	200	L	C	0	0	textarea		255	NULL	home
IDX_SPECS	IDX_SPECS	idx_pclose	IDX_PCLOSE	IDXPCLOSE	200	R	DB	0	0	textarea			NULL	home
