CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASBMTRJPY	IFRC VNX ALL-SHARE BASIC MATERIAL TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMTRUSD	IFRC VNX ALL-SHARE BASIC MATERIAL TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGPREUR	IFRC VNX ALL-SHARE CONSUMER GOODS (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGPRJPY	IFRC VNX ALL-SHARE CONSUMER GOODS (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGPRUSD	IFRC VNX ALL-SHARE CONSUMER GOODS (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGEPREUR	IFRC VNX ALL-SHARE CONSUMER GOODS EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGEPRJPY	IFRC VNX ALL-SHARE CONSUMER GOODS EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGEPRUSD	IFRC VNX ALL-SHARE CONSUMER GOODS EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGETREUR	IFRC VNX ALL-SHARE CONSUMER GOODS EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGETRJPY	IFRC VNX ALL-SHARE CONSUMER GOODS EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGETRUSD	IFRC VNX ALL-SHARE CONSUMER GOODS EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGTREUR	IFRC VNX ALL-SHARE CONSUMER GOODS TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGTRJPY	IFRC VNX ALL-SHARE CONSUMER GOODS TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGTRUSD	IFRC VNX ALL-SHARE CONSUMER GOODS TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSPREUR	IFRC VNX ALL-SHARE CONSUMER SERVICES (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSPRJPY	IFRC VNX ALL-SHARE CONSUMER SERVICES (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSPRUSD	IFRC VNX ALL-SHARE CONSUMER SERVICES (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSEPREUR	IFRC VNX ALL-SHARE CONSUMER SERVICES EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSEPRJPY	IFRC VNX ALL-SHARE CONSUMER SERVICES EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
