name	code_ctr	indcode	year	value	last_upd
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2008	92.1876327356289	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2009	105.507021698332	2013/06/24
Fertilizer consumption (% of fertilizer production) - European Union	EUU	AG.CON.FERT.PT.ZS	2010	106.004803154587	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2002	1228.93012789472	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2003	790.817603863783	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2004	752.312528318986	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2005	1230.91918568785	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2006	2304.70883986193	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2007	775.329791645653	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2008	1397.75273231812	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2009	2830.79796264856	2013/06/24
Fertilizer consumption (% of fertilizer production) - Heavily indebted poor countries (HIPC)	HPC	AG.CON.FERT.PT.ZS	2010	2685.58167950967	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2002	81.062807451986	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2003	82.8909113649767	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2004	75.5750253862121	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2005	73.96786175801	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2006	73.8238771768189	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2007	74.9718161569689	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2008	73.2060039463433	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2009	76.0947472037464	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income	HIC	AG.CON.FERT.PT.ZS	2010	74.7972086786131	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2002	85.6223338505633	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2003	87.353711863129	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2004	79.365531302537	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2005	79.2486426228535	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2006	79.7849902614224	2013/06/24
Fertilizer consumption (% of fertilizer production) - High income: OECD	OEC	AG.CON.FERT.PT.ZS	2007	81.466081017884	2013/06/24
