STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PVD	PVN Drilling & Well Services	70371300	100	100	35000.000	VND	1	1.00	35000.000	2462995500000.00 	2012/09/13	0:00:00	154816860000.00	 2,200.00 	 2,200.00 	VND	PVNCOPRVND	6.24%						0
PVF	PVN Finance	100000000	100	100	8300.000	VND	1	1.00	8300.000	830000000000.00 	2012/09/13	0:00:00	50000000000.00	 500.00 	 500.00 	VND	PVNCOPRVND	2.10%						0
PVS	PVN Technical Services	600000000	100	100	15200.000	VND	1	1.00	15200.000	9120000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	23.09%						0
PVX	PVN Construction	232600000	100	100	5200.000	VND	1	1.00	5200.000	1209520000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	3.06%						0
PVI	PVN Insurance	30000000	100	100	15900.000	VND	1	1.00	15900.000	477000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.21%						0
PGD	PVN Low Pressure Gas Distribution	15000000	100	100	38800.000	VND	1	1.00	38800.000	582000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.47%						0
PVT	PVN Transportation	37518001	100	100	4300.000	VND	1	1.00	4300.000	161327404300.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.41%						0
PGS	PVN Southern Gas	20000000	100	100	17100.000	VND	1	1.00	17100.000	342000000000.00 	2012/09/13	0:00:00	24000000000.00	 1,200.00 	 1,200.00 	VND	PVNCOPRVND	0.87%						0
PET	PVN General Services	42900000	100	100	11200.000	VND	1	1.00	11200.000	480480000000.00 	2012/09/13	0:00:00	64350000000.00	 1,500.00 	 1,500.00 	VND	PVNCOPRVND	1.22%						0
PTL	Petro Capital and Infrastructure Investment	209740215	100	100	2900.000	VND	1	1.00	2900.000	608246623500.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.54%						0
PVC	Drilling Mud Corp	50000000	100	100	12700.000	VND	1	1.00	12700.000	635000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.61%						0
PVR	PVN Premier Recreation	35000000	100	100	3600.000	VND	1	1.00	3600.000	126000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.32%						0
PVG	PVN Northern Gas	2000000	100	100	9300.000	VND	1	1.00	9300.000	18600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.05%						0
PXS	Petroleum Equipment Assembly and Metal Structure	59841300	100	100	9400.000	VND	1	1.00	9400.000	562508220000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.42%						0
PSI	PVN Securities Incorporated	157531264	100	100	3600.000	VND	1	1.00	3600.000	567112550400.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.44%						0
PFL	Petro Dong Do Joint Stock Company	52356713	100	100	2700.000	VND	1	1.00	2700.000	141363125100.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.36%						0
PSG	Saigon Petroleum Constrution And Investment JSC	23000000	100	100	1300.000	VND	1	1.00	1300.000	29900000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.08%						0
PVE	PVN Investment Consultancy and Engineering	15000000	100	100	9600.000	VND	1	1.00	9600.000	144000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.36%						0
PXI	Petroleum Industrial and Civil Construction	18000000	100	100	4000.000	VND	1	1.00	4000.000	72000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.18%						0
PPS	Petro Vietnam Power Services Joint Stock Company	250000000	100	100	7200.000	VND	1	1.00	7200.000	1800000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	4.56%						0
PXT	Petroleum Pipeline and Tank Construction	18870000	100	100	4200.000	VND	1	1.00	4200.000	79254000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.20%						0
PXM	Mientrung Petroleum Construction	35000000	100	100	3200.000	VND	1	1.00	3200.000	112000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.28%						0
PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100.000	VND	1	1.00	6100.000	1816592773400.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	4.60%						0
PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900.000	VND	1	1.00	2900.000	110200000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.28%						0
PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400.000	VND	1	1.00	35400.000	981282690000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	2.48%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200.000	VND	1	1.00	39200.000	14803791408000.00 	2012/09/13	0:00:00	528706836000.00	 1,400.00 	 1,400.00 	VND	PVNHSXPRVND	37.49%						0
PVD	PVN Drilling & Well Services	70371300	100	100	35000.000	VND	1	1.00	35000.000	2462995500000.00 	2012/09/13	0:00:00	154816860000.00	 2,200.00 	 2,200.00 	VND	PVNHSXPRVND	6.24%						0
PVF	PVN Finance	100000000	100	100	8300.000	VND	1	1.00	8300.000	830000000000.00 	2012/09/13	0:00:00	50000000000.00	 500.00 	 500.00 	VND	PVNHSXPRVND	2.10%						0
PGD	PVN Low Pressure Gas Distribution	600000000	100	100	38800.000	VND	1	1.00	38800.000	23280000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	58.95%						0
PVT	PVN Transportation	232600000	100	100	4300.000	VND	1	1.00	4300.000	1000180000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	2.53%						0
PET	PVN General Services	30000000	100	100	11200.000	VND	1	1.00	11200.000	336000000000.00 	2012/09/13	0:00:00	45000000000.00	 1,500.00 	 1,500.00 	VND	PVNHSXPRVND	0.85%						0
PTL	Petro Capital and Infrastructure Investment	15000000	100	100	2900.000	VND	1	1.00	2900.000	43500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	0.11%						0
