id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE
20065	PVNFITREUR	PVN FINANCIALS TR (EUR)	EUR	1000	R	PVNFIPRVND	344827586206.897000	358387380.294579	1039.472870	2012/09/13	0:00:00	5	1	0	1122.161576	1677251.240160	0	  	  	Sectors	29810.680000	1122.161576
20066	PVNINTRVND	PVN INDUSTRIALS TR 	VND	1000	R	PVNINPRVND	10000000000000.000000	12555633734400.000000	1301.715784	2012/09/13	0:00:00	15	1	0	617.679890	461428473000.000000	0	  	  	Sectors	1.000000	617.67989
20067	PVNINTRUSD	PVN INDUSTRIALS TR (USD)	USD	1000	R	PVNINPRVND	476190476190.476000	573578516.875286	1204.519985	2012/09/13	0:00:00	15	1	0	621.434067	21079418.592965	0	  	  	Sectors	21890.000000	621.434067
20068	PVNINTRJPY	PVN INDUSTRIALS TR (JPY)	JPY	1000	R	PVNINPRVND	37735849056.603800	44523523880.851100	1223.060163	2012/09/13	0:00:00	15	1	0	606.677307	1636271180.851060	0	  	  	Sectors	282.000000	606.677307
20069	PVNINTREUR	PVN INDUSTRIALS TR (EUR)	EUR	1000	R	PVNINPRVND	344827586206.897000	421179045.040234	1221.805448	2012/09/13	0:00:00	15	1	0	622.294103	15478629.571684	0	  	  	Sectors	29810.680000	622.294103
20070	PVNOGTRVND	PVN OIL & GAS TR 	VND	1000	R	PVNOGPRVND	10000000000000.000000	13957715385000.000000	1603.366093	2012/09/13	0:00:00	5	1	0	421.546167	700764606800.000000	0	  	  	Sectors	1.000000	421.546167
20071	PVNOGTRUSD	PVN OIL & GAS TR (USD)	USD	1000	R	PVNOGPRVND	476190476190.476000	637629757.195066	1463.550801	2012/09/13	0:00:00	5	1	0	424.267514	32013001.681133	0	  	  	Sectors	21890.000000	424.267514
20072	PVNOGTRJPY	PVN OIL & GAS TR (JPY)	JPY	1000	R	PVNOGPRVND	37735849056.603800	49495444627.659600	1505.095563	2012/09/13	0:00:00	5	1	0	414.001848	2484980875.177300	0	  	  	Sectors	282.000000	414.001848
20073	PVNOGTREUR	PVN OIL & GAS TR (EUR)	EUR	1000	R	PVNOGPRVND	344827586206.897000	468211908.785710	1483.884409	2012/09/13	0:00:00	5	1	0	424.292465	23507166.116305	0	  	  	Sectors	29810.680000	424.292465
20074	PVNUTTRVND	PVN UTILITIES TR 	VND	1000	R	PVNUTPRVND	10000000000000.000000	2957227000000.000000	294.745472	2012/09/13	0:00:00	3	1	0	173.983521	0.000000	0	  	  	Sectors	1.000000	173.983521
20075	PVNUTTRUSD	PVN UTILITIES TR (USD)	USD	1000	R	PVNUTPRVND	476190476190.476000	135094883.508451	283.462686	2012/09/13	0:00:00	3	1	0	175.656890	0.000000	0	  	  	Sectors	21890.000000	175.65689
20076	PVNUTTRJPY	PVN UTILITIES TR (JPY)	JPY	1000	R	PVNUTPRVND	37735849056.603800	10486620567.375900	277.544551	2012/09/13	0:00:00	3	1	0	170.595353	0.000000	0	  	  	Sectors	282.000000	170.595353
20077	PVNUTTREUR	PVN UTILITIES (EUR)	EUR	1000	R	PVNUTPRVND	344827586206.897000	99200253.063667	287.337698	2012/09/13	0:00:00	3	1	0	175.039746	0.000000	0	  	  	Sectors	29810.680000	175.039746
