STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	IDX_CODE	DATES
PCG	PetroVietnam Gas City Investment and Development JSC	297802094 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PCT	Cuu Long Petro Gas Service Transportation	38000000 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
PPE	PetroVietnam Power Engineering Consulting JSC	27719850 	100.000000	100.000000000000	PVNHNXPRVND	2012/09/13
DPM	PVN Fertilizer and Chemicals	377647740 	100.000000	100.000000000000	PVNBMPRVND	2012/09/13
PET	PVN General Services	70371300 	100.000000	100.000000000000	PVNCSPRVND	2012/09/13
PVF	PVN Finance	100000000 	100.000000	100.000000000000	PVNFIPRVND	2012/09/13
PVI	PVN Insurance	600000000 	100.000000	100.000000000000	PVNFIPRVND	2012/09/13
PTL	Petro Capital and Infrastructure Investment	50000000 	100.000000	100.000000000000	PVNFIPRVND	2012/09/13
PSI	PVN Securities Incorporated	2000000 	100.000000	100.000000000000	PVNFIPRVND	2012/09/13
PFL	Petro Dong Do Joint Stock Company	59841300 	100.000000	100.000000000000	PVNFIPRVND	2012/09/13
PVT	PVN Transportation	232600000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PXI	Petroleum Industrial and Civil Construction	30000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PXM	Mientrung Petroleum Construction	15000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PXS	Petroleum Equipment Assembly and Metal Structure	37518001 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PXT	Petroleum Pipeline and Tank Construction	20000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PCT	Cuu Long Petro Gas Service Transportation	23000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PPS	Petro Vietnam Power Services Joint Stock Company	15000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PVE	PVN Investment Consultancy and Engineering	18000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PVX	PVN Construction	250000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PSP	Dinh Vu Petroleum Service Port	22500000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PTT	Indochina Petroleum Transportation	10000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PGD	PVN Low Pressure Gas Distribution	42900000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PVD	PVN Drilling & Well Services	209740215 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PCG	PetroVietnam Gas City Investment and Development JSC	18870000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PSG	Saigon Petroleum Constrution And Investment JSC	35000000 	100.000000	100.000000000000	PVNINPRVND	2012/09/13
PVD	PVN Drilling & Well Services	297802094 	100.000000	100.000000000000	PVNOGPRVND	2012/09/13
PVS	PVN Technical Services	10000000 	100.000000	100.000000000000	PVNOGPRVND	2012/09/13
PGS	PVN Southern Gas	38000000 	100.000000	100.000000000000	PVNOGPRVND	2012/09/13
PVC	Drilling Mud Corp	27719850 	100.000000	100.000000000000	PVNOGPRVND	2012/09/13
PVG	PVN Northern Gas	256000000 	100.000000	100.000000000000	PVNOGPRVND	2012/09/13
PGD	PVN Low Pressure Gas Distribution	42900000 	100.000000	100.000000000000	PVNUTPRVND	2012/09/13
NT2	PVN Power NhonTrach 2	256000000 	100.000000	100.000000000000	PVNUTPRVND	2012/09/13
PCG	PetroVietnam Gas City Investment and Development JSC	18870000 	100.000000	100.000000000000	PVNUTPRVND	2012/09/13
