tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
idx_composition	IDX_COMPOSITION	stk_code	STK_CODE	CODE	40	C	C	0	2	text		50	PVI	sysformat
idx_composition	IDX_COMPOSITION	stk_name	STK_NAME	STOCK NAME	330	LB	C	0	3	text		255	PVN Fertilizer and Chemicals	sysformat
idx_composition	IDX_COMPOSITION	stk_shares_idx	STK_SHARES_IDX	SHARES	80	R	N	0	10	text				sysformat
idx_composition	IDX_COMPOSITION	idx_curr	IDX_CURR	IDXCURR	50	C	C	0	11	text		255		sysformat
idx_composition	IDX_COMPOSITION	stk_mult	STK_MULT	MULT	50	R	N	0	12	text		1		sysformat
idx_composition	IDX_COMPOSITION	curr_conv	CURR_CONV	CURRCONV	75	R	N	0	13	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	stk_curr_conv	STK_CURR_CONV	STK CURRCONV	75	R	N	0	14	text		0		sysformat
idx_composition	IDX_COMPOSITION	stk_mcap_idx	STK_MCAP_IDX	MARKET CAP	120	R	N	0	15	text		0		sysformat
idx_composition	IDX_COMPOSITION	dates	DATES	DATE	60	C	C	0	16	text		8	41162	sysformat
idx_composition	IDX_COMPOSITION	times	TIMES	TIME	60	C	C	0	17	text		8	0.690625	sysformat
idx_composition	IDX_COMPOSITION	stk_capp_idx	STK_CAPP_IDX	CAPP	100	R	N	6	19	text		100		sysformat
idx_composition	IDX_COMPOSITION	stk_float_idx	STK_FLOAT_IDX	FLOAT	40	C	N	0	20	text		100		sysformat
idx_composition	IDX_COMPOSITION	stk_price	STK_PRICE	PRICE	50	R	N	0	21	text		20.1		sysformat
idx_composition	IDX_COMPOSITION	stk_curr	STK_CURR	CURR	40	C	C	0	22	text		10	VND	sysformat
idx_composition	IDX_COMPOSITION	stk_dprice	STK_DPRICE	DPRICE	50	R	N	0	23	text		0.6		sysformat
idx_composition	IDX_COMPOSITION	stk_dcap_idx	STK_DCAP_IDX	DCAP	105	R	N	0	24	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	stk_wgt	STK_WGT	WGT	50	R	N	4	25	text		0		sysformat
idx_composition	IDX_COMPOSITION	stk_dcurr_conv	STK_DCURR_CONV	DCURRCONV	80	R	N	0	26	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	nxt_shares_idx	NXT_SHARES_IDX	NEXT SHARES	75	R	N	0	27	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	nxt_float_idx	NXT_FLOAT_IDX	NEXT FLOAT	75	R	N	0	28	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	nxt_capp_idx	NXT_CAPP_IDX	NEXT CAPP	100	R	N	6	29	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	nxt_price	NXT_PRICE	NEXT PRICE	75	R	N	0	30	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	nxt_adjust	NXT_ADJUST	NEXT ADJUST	75	R	N	0	31	text		NULL		sysformat
idx_composition	IDX_COMPOSITION	nxt_date	NXT_DATE	NEXT DATE	70	C	C	0	32	text		8		sysformat
idx_composition	IDX_COMPOSITION	to_adjust	TO_ADJUST	TODAY ADJUST	70	R	N	0	33	text		6	0	sysformat
idx_composition	IDX_COMPOSITION	nstk_curr_conv	NSTK_CURR_CONV	CURR CONV	70	R	C	0	34	text				sysformat
idx_composition	IDX_COMPOSITION	nstk_mcap_idx	NSTK_MCAP_IDX	NEXT SMCAP	110	R	N	0	35	text				sysformat
idx_files	IDX_FILES	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
idx_files	IDX_FILES	table	TABLE	TABLE	200	L	C	0	1	text		255	IDX_CALENDAR	sysformat
idx_files	IDX_FILES	file	FILE	FILE	200	L	C	0	2	text		255	IDX_CALENDAR.TXT	sysformat
idx_files	IDX_FILES	active	ACTIVE	ACTIVE	50	C	N	0	3	text		1	9	sysformat
idx_files	IDX_FILES	empty	EMPTY	EMPTY	50	C	N	0	4	text		1	1	sysformat
idx_files	IDX_FILES	description	DESCRIPTION	DESCRIPTION	200	L	C	0	5	text		255	date	sysformat
idx_group	IDX_GROUP	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
idx_group	IDX_GROUP	idx_gr	IDX_GR	GROUP	100	C	C	0	1	text		10	TRAD	sysformat
idx_group	IDX_GROUP	idx_gr_name	IDX_GR_NAME	GROUP NAME	200	LB	C	0	2	text		50	Tradable	sysformat
idx_group	IDX_GROUP	idx_sg	IDX_SG	IDXSG	100	L	C	0	3	text		10	BLCH	sysformat
idx_group	IDX_GROUP	idx_sg_name	IDX_SG_NAME	IDXSGNAME	200	L	C	0	4	text		50	Blue Chips	sysformat
idx_ref	IDX_REF	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
idx_ref	IDX_REF	idx_name_sn	IDX_NAME_SN	NAMESN	200	L	C	0	0	text		255		sysformat
idx_ref	IDX_REF	idx_name_sn_vn	IDX_NAME_SN_VN	NAMESNVN	200	L	C	0	0	text		255	NULL	sysformat
idx_ref	IDX_REF	idx_base	IDX_BASE	BASE	100	R	N	0	0	text		255	1000	sysformat
idx_ref	IDX_REF	idx_base_capi	IDX_BASE_CAPI	BASECAPI	100	R	N	0	0	text		255	0	sysformat
idx_ref	IDX_REF	idx_dtbase	IDX_DTBASE	DTBASE	200	L	C	0	0	text		255		sysformat
idx_ref	IDX_REF	idx_mother	IDX_MOTHER	MOTHER	200	L	C	0	0	text		255	PVN10JPY	sysformat
idx_ref	IDX_REF	idx_bbs	IDX_BBS	BBS	200	L	C	0	0	text		255	Blue Chips	sysformat
idx_ref	IDX_REF	publications	PUBLICATIONS	PUBLICATIONS	50	R	N	0	0	text		6	0	sysformat
idx_ref	IDX_REF	idx_code	IDX_CODE	CODE	80	L	C	0	2	text		255	PVN10JPYGR	sysformat
idx_ref	IDX_REF	idx_name	IDX_NAME	NAME	170	LB	C	0	3	text		255	PVN 10 GR (JPY)	sysformat
idx_ref	IDX_REF	idx_curr	IDX_CURR	IDX CURR	50	C	C	0	6	text		255	JPY	sysformat
idx_ref	IDX_REF	idx_type	IDX_TYPE	TYPE	50	C	C	0	10	text		255	R	sysformat
idx_ref	IDX_REF	idx_ncompo	IDX_NCOMPO	NCOMPO	60	L	C	0	13	text		255		sysformat
idx_ref	IDX_REF	idx_wgt_type	IDX_WGT_TYPE	WGTTYPE	60	L	C	0	14	text		255		sysformat
idx_ref	IDX_REF	idx_frequency	IDX_FREQUENCY	QUENCY	50	L	C	0	15	text		255		sysformat
idx_ref	IDX_REF	idx_capp	IDX_CAPP	CAPP	100	L	C	6	16	text		255		sysformat
idx_ref	IDX_REF	idx_qlf	IDX_QLF	QLF	100	L	C	0	17	text		255		sysformat
idx_ref	IDX_REF	idx_compo_rev	IDX_COMPO_REV	COMPOREV	100	L	C	0	18	text		255		sysformat
idx_ref	IDX_REF	idx_shares_rev	IDX_SHARES_REV	SHARESREV	100	L	C	0	19	text		255		sysformat
idx_ref	IDX_REF	idx_frev	IDX_FREV	FREV	100	L	C	0	20	text		255		sysformat
idx_ref	IDX_REF	idx_fbanding	IDX_FBANDING	FBANDING	100	L	C	0	21	text		255		sysformat
idx_ref	IDX_REF	idx_ftreproduct	IDX_FTREPRODUCT	FTREPRODUCT	100	L	C	0	22	text		255		sysformat
idx_ref	IDX_REF	idx_oproduct	IDX_OPRODUCT	OPRODUCT	100	L	C	0	23	text		255		sysformat
idx_ref	IDX_REF	idx_etfproduct	IDX_ETFPRODUCT	ETFPRODUCT	100	L	C	0	24	text		255		sysformat
idx_ref	IDX_REF	idx_c_mech	IDX_C_MECH	CMECH	100	L	C	0	25	text		255		sysformat
idx_ref	IDX_REF	idx_histo	IDX_HISTO	HISTO	100	L	C	0	26	text		255		sysformat
idx_ref	IDX_REF	idx_launch	IDX_LAUNCH	LAUNCH	100	L	C	0	27	text		255		sysformat
idx_ref	IDX_REF	idx_web	IDX_WEB	WEB	100	L	C	0	28	text		255		sysformat
idx_ref	IDX_REF	idx_isin	IDX_ISIN	ISIN	100	L	C	0	29	text		255		sysformat
idx_ref	IDX_REF	idx_reuters	IDX_REUTERS	REUTERS	100	L	C	0	30	text		255		sysformat
idx_ref	IDX_REF	idx_bl	IDX_BL	BL	100	L	C	0	31	text		255		sysformat
idx_ref	IDX_REF	idx_yh	IDX_YH	YH	100	L	C	0	32	text		255		sysformat
idx_ref	IDX_REF	idx_ggl	IDX_GGL	GGL	100	L	C	0	33	text		255		sysformat
idx_ref	IDX_REF	calculs	CALCULS	CALCULS	50	R	N	0	34	text		6	0	sysformat
idx_ref	IDX_REF	idx_igs	IDX_IGS	IGS	100	L	C	0	36	text		255	NULL	sysformat
idx_ref	IDX_REF	idx_es	IDX_ES	ES	100	L	C	0	37	text		255	NULL	sysformat
idx_ref	IDX_REF	idx_sel	IDX_SEL	SEL	100	L	C	0	38	text		255	NULL	sysformat
idx_ref	IDX_REF	idx_inconnect	IDX_INCONNECT	INCONNECT	100	L	C	0	39	text		255	NULL	sysformat
idx_ref	IDX_REF	idx_capfrev	IDX_CAPFREV	CAPFREV	100	L	C	0	40	text		255	NULL	sysformat
idx_ref	IDX_REF	idx_sg	IDX_SG	IDXSG	100	L	C	0	41	text		10	BLCH	sysformat
idx_ref	IDX_REF	idx_last	IDX_LAST	LAST	100	R	N	2	42	text		11		sysformat
idx_ref	IDX_REF	idx_divisor_nxt	IDX_DIVISOR_NXT	DIVISOR NEXT	80	R	N	0	43	text		8		sysformat
