CODE_DWL	COLUMN	DATAFIELD	LEFT	RIGHT	TYPE	FORMAT	DELIMITOR	MULT	OCCURRENCE	METAORDER	COMMENT
FPTDIVHW	2	dividend	, 	đồng	N			1	1		
FPTDIVHW	2	pay_year	năm	bằng	C				1		
FPTDIVHW	2	pay_period	đợt 	bằng	C				1		
FPTDIVHW	3	date_rec	>	<	D				1		
FPTDIVHW	4	date_ex	>	<	D				1		
FPTDIVHW	6	date_pay	>	<	D				1		
CAFOWNERTW	1	name	>		C				1		
CAFOWNERTW	2	own_shares	>	<	N			1	1		
CAFOWNERTW	3	own_perc	>	<	C				1		
CAFOWNERTW	4	dateupd	>	<	D				1		
CAFSHRTW	1	shli	niêm yết :	cp	N			1	1		
CAFSHRTW		shou	lưu hành :	cp	N			1	1		
EXCPRHNXTW	1	ticker	>	<\/a>	C				1		
EXCPRHNXTW	1	pref	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	2		
EXCPRHNXTW	1	pcei	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	3		
EXCPRHNXTW	1	pflr	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	4		
EXCPRHNXTW	1	popn	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	5		
EXCPRHNXTW	1	pcls	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	6		
EXCPRHNXTW	1	phgh	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	7		
EXCPRHNXTW	1	plow	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	8		
EXCPRHNXTW	1	pbase	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	9		
EXCPRHNXTW	1	vlm	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1	12		
EXCPRHNXTW	1	trn	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	13		
EXCPRUPCTW	1	ticker	>	<\/a>	C				1		
EXCPRUPCTW	1	pref	CHR(34),CHR(34)	CHR(34),CHR(34)	N			1000	2		
