STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	IDX_CODE	DATES
PXI	Petroleum Industrial and Civil Construction	30000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PXM	Mientrung Petroleum Construction	15000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PXS	Petroleum Equipment Assembly and Metal Structure	37518001 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PXT	Petroleum Pipeline and Tank Construction	20000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PCT	Cuu Long Petro Gas Service Transportation	23000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PPS	Petro Vietnam Power Services Joint Stock Company	15000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PVE	VNX Investment Consultancy and Engineering	18000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PVX	VNX Construction	250000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PSP	Dinh Vu Petroleum Service Port	22500000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PTT	Indochina Petroleum Transportation	10000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PGD	VNX Low Pressure Gas Distribution	42900000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PVD	VNX Drilling & Well Services	209740215 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PCG	PetroVietnam Gas City Investment and Development JSC	18870000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PSG	Saigon Petroleum Constrution And Investment JSC	35000000 	100.000000	100.000000000000	VNXINPRVND	2012/09/13
PVD	VNX Drilling & Well Services	297802094 	100.000000	100.000000000000	VNXOGPRVND	2012/09/13
PVS	VNX Technical Services	10000000 	100.000000	100.000000000000	VNXOGPRVND	2012/09/13
PGS	VNX Southern Gas	38000000 	100.000000	100.000000000000	VNXOGPRVND	2012/09/13
PVC	Drilling Mud Corp	27719850 	100.000000	100.000000000000	VNXOGPRVND	2012/09/13
PVG	VNX Northern Gas	256000000 	100.000000	100.000000000000	VNXOGPRVND	2012/09/13
PGD	VNX Low Pressure Gas Distribution	42900000 	100.000000	100.000000000000	VNXUTPRVND	2012/09/13
NT2	VNX Power NhonTrach 2	256000000 	100.000000	100.000000000000	VNXUTPRVND	2012/09/13
PCG	PetroVietnam Gas City Investment and Development JSC	18870000 	100.000000	100.000000000000	VNXUTPRVND	2012/09/13
